Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.4816307,0.41989115,0.45036736,0.47742087,0.4682922,0.53333896,0.3613561,0.47925466,0.47502154,0.48927936,0.4239048,0.40182513,0.42902002,0.40414143,0.4882022,0.46068686,0.33264148,0.47709793,0.50286996,0.36987898
0.4816307,1.0,0.51350963,0.5804876,0.5071611,0.5424289,0.60173535,0.4756159,0.6345281,0.48539978,0.58194923,0.60808444,0.43629336,0.5895213,0.60265577,0.5446801,0.6215867,0.4348694,0.6481353,0.5737101,0.42449036
0.41989115,0.51350963,1.0,0.49416307,0.53814507,0.56915003,0.5469008,0.59851396,0.50599355,0.49180657,0.55406475,0.5716852,0.4839716,0.52856636,0.39696547,0.46472317,0.4841623,0.43721968,0.49846718,0.5791469,0.43169504
0.45036736,0.5804876,0.49416307,1.0,0.47670424,0.5593682,0.5862667,0.496988,0.5042501,0.5323087,0.5618115,0.59354854,0.41252655,0.5978839,0.5130923,0.52547646,0.5534737,0.6167886,0.4681039,0.48024687,0.6037328
0.47742087,0.5071611,0.53814507,0.47670424,1.0,0.4484007,0.5336199,0.41197404,0.4563844,0.5295976,0.51052284,0.49847487,0.37854826,0.4586909,0.39733905,0.51827806,0.5842545,0.40758377,0.5084627,0.5211092,0.38138422
0.4682922,0.5424289,0.56915003,0.5593682,0.4484007,1.0,0.70716184,0.52946675,0.47077063,0.48268798,0.5996186,0.6519761,0.44478723,0.61219823,0.46629247,0.488541,0.5201964,0.5072439,0.49457416,0.5994613,0.48356992
0.53333896,0.60173535,0.5469008,0.5862667,0.5336199,0.70716184,1.0,0.54024035,0.53397316,0.5361048,0.61449397,0.60677034,0.4324042,0.6547381,0.5129918,0.57274705,0.5832772,0.52012044,0.54025054,0.5860882,0.48380747
0.3613561,0.4756159,0.59851396,0.496988,0.41197404,0.52946675,0.54024035,1.0,0.5218029,0.43896046,0.54127955,0.52763665,0.4620645,0.5284209,0.42915258,0.48663303,0.485624,0.45156223,0.50523484,0.5044276,0.39371264
0.47925466,0.6345281,0.50599355,0.5042501,0.4563844,0.47077063,0.53397316,0.5218029,1.0,0.51044154,0.5665755,0.54027736,0.5700145,0.5685163,0.4801042,0.5719038,0.59646666,0.4301834,0.57721853,0.5237155,0.4217204
0.47502154,0.48539978,0.49180657,0.5323087,0.5295976,0.48268798,0.5361048,0.43896046,0.51044154,1.0,0.59742576,0.52698994,0.39862078,0.47446686,0.49740154,0.55331415,0.52453387,0.446742,0.52551436,0.47797894,0.36962837
