Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.67807966,0.7684339,0.5398176,0.66439354,0.61299086,0.63027984,0.55774504,0.6143744,0.53095865,0.5945059,0.56869525,0.63366103,0.57123256,0.5712571,0.63896555,0.5496363,0.45163327,0.6172763,0.7752591,0.5737978
0.67807966,1.0,0.73276466,0.6907881,0.7735095,0.70755327,0.65852785,0.73442566,0.7801378,0.7033924,0.8001898,0.7836398,0.8245863,0.7797911,0.75496364,0.8125583,0.7007577,0.57518137,0.85102546,0.85032815,0.7478167
0.7684339,0.73276466,1.0,0.5015154,0.7716234,0.5355943,0.56408733,0.5499454,0.5890342,0.54872763,0.60316247,0.5668126,0.65565956,0.6230222,0.5561356,0.58626884,0.5045134,0.4439909,0.62108743,0.8278621,0.55628735
0.5398176,0.6907881,0.5015154,1.0,0.6457133,0.66473293,0.66165847,0.7258307,0.71242726,0.6078263,0.71954995,0.75123954,0.6668901,0.82622755,0.55655146,0.66845787,0.73489386,0.7572967,0.60620975,0.63494194,0.82860565
0.66439354,0.7735095,0.7716234,0.6457133,1.0,0.5714643,0.5936922,0.70341563,0.6426877,0.56873626,0.5911946,0.61172664,0.6223171,0.7561362,0.6053562,0.6368333,0.6397902,0.62990177,0.66762227,0.8526837,0.74170613
0.61299086,0.70755327,0.5355943,0.66473293,0.5714643,1.0,0.72248924,0.6491905,0.6370235,0.64539623,0.68541265,0.72647583,0.6885098,0.6972648,0.5954896,0.70533764,0.6680962,0.6101154,0.60660106,0.66279745,0.6719681
0.63027984,0.65852785,0.56408733,0.66165847,0.5936922,0.72248924,1.0,0.5902962,0.6422847,0.4998558,0.6087588,0.64553726,0.67523587,0.6744466,0.6042653,0.69678617,0.6599724,0.5965914,0.590892,0.6668214,0.6609527
0.55774504,0.73442566,0.5499454,0.7258307,0.70341563,0.6491905,0.5902962,1.0,0.65264153,0.64688236,0.68773115,0.719458,0.6506363,0.72534776,0.56539816,0.68045795,0.6368364,0.6331775,0.6355536,0.7150408,0.7015425
0.6143744,0.7801378,0.5890342,0.71242726,0.6426877,0.6370235,0.6422847,0.65264153,1.0,0.6630744,0.771201,0.7094901,0.81123173,0.7561283,0.71260595,0.74346554,0.7607273,0.63283294,0.7297301,0.7698548,0.7461406
0.53095865,0.7033924,0.54872763,0.6078263,0.56873626,0.64539623,0.4998558,0.64688236,0.6630744,1.0,0.74096394,0.66695344,0.7023635,0.65721744,0.6322807,0.7015629,0.5840863,0.6249763,0.68069243,0.66521114,0.6453648
0.5945059,0.8001898,0.60316247,0.71954995,0.5911946,0.68541265,0.6087588,0.68773115,0.771201,0.74096394,1.0,0.8183189,0.7807934,0.77080107,0.69452393,0.7935006,0.6669318,0.59092855,0.75812936,0.7825139,0.7221685
0.56869525,0.7836398,0.5668126,0.75123954,0.61172664,0.72647583,0.64553726,0.719458,0.7094901,0.66695344,0.8183189,1.0,0.7797788,0.7751938,0.6212144,0.7386797,0.68381727,0.6623709,0.71567595,0.6918895,0.74302304
0.63366103,0.8245863,0.65565956,0.6668901,0.6223171,0.6885098,0.67523587,0.6506363,0.81123173,0.7023635,0.7807934,0.7797788,1.0,0.7013949,0.7259334,0.74925065,0.6890892,0.61478984,0.76405036,0.77843857,0.72556
0.57123256,0.7797911,0.6230222,0.82622755,0.7561362,0.6972648,0.6744466,0.72534776,0.7561283,0.65721744,0.77080107,0.7751938,0.7013949,1.0,0.58956724,0.7247873,0.7369495,0.7748498,0.6841893,0.7585877,0.82840264
0.5712571,0.75496364,0.5561356,0.55655146,0.6053562,0.5954896,0.6042653,0.56539816,0.71260595,0.6322807,0.69452393,0.6212144,0.7259334,0.58956724,1.0,0.7145215,0.6932914,0.5856506,0.76814646,0.69927716,0.6993924
0.63896555,0.8125583,0.58626884,0.66845787,0.6368333,0.70533764,0.69678617,0.68045795,0.74346554,0.7015629,0.7935006,0.7386797,0.74925065,0.7247873,0.7145215,1.0,0.74260557,0.555432,0.7576067,0.7656151,0.6685832
0.54963636,0.7007576,0.5045134,0.73489386,0.63979024,0.66809607,0.65997255,0.6368364,0.76072705,0.5840864,0.6669315,0.68381715,0.68908924,0.7369495,0.6932915,0.7426058,1.0,0.683514,0.6595222,0.6607575,0.732919
0.45163316,0.5751815,0.4439909,0.7572967,0.6299017,0.6101154,0.59659135,0.6331774,0.6328329,0.62497616,0.5909287,0.6623708,0.61478984,0.7748496,0.58565056,0.5554319,0.683514,1.0,0.53566927,0.55560434,0.81179273
0.6172763,0.85102546,0.62108743,0.60620975,0.66762227,0.60660106,0.590892,0.6355536,0.7297301,0.68069243,0.75812936,0.71567595,0.76405036,0.6841893,0.76814646,0.7576067,0.6595222,0.53566927,1.0,0.73980594,0.68639404
0.7752591,0.85032815,0.8278621,0.63494194,0.8526837,0.66279745,0.6668214,0.7150408,0.7698548,0.66521114,0.7825139,0.6918895,0.77843857,0.7585877,0.69927716,0.7656151,0.6607575,0.55560434,0.73980594,1.0,0.7277429
0.5737978,0.7478167,0.55628735,0.82860565,0.74170613,0.6719681,0.6609527,0.7015425,0.7461406,0.6453648,0.7221685,0.74302304,0.72556,0.82840264,0.6993924,0.6685832,0.732919,0.81179273,0.68639404,0.7277429,1.0
