Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.49451518,0.60147655,0.5072056,0.6165981,0.4044962,0.4529508,0.3564456,0.49265486,0.42938673,0.41219485,0.41973355,0.48499337,0.5252434,0.5271912,0.53238916,0.5425718,0.54701424,0.44356394,0.5664714,0.57733446
0.49451518,1.0,0.50863034,0.49291474,0.46464542,0.3281362,0.32534093,0.4393727,0.5737221,0.44869152,0.49389505,0.44889846,0.46738505,0.47774556,0.63977075,0.55656874,0.48434067,0.5053045,0.52450347,0.6328587,0.5214224
0.60147655,0.50863034,1.0,0.4380513,0.576519,0.32335156,0.4062638,0.36409324,0.34512258,0.27837807,0.3779148,0.29839274,0.37786847,0.45857486,0.3785054,0.4426451,0.37919855,0.38450086,0.32062835,0.5530057,0.42566872
0.5072056,0.49291474,0.4380513,1.0,0.44762507,0.46693063,0.42777056,0.5297942,0.6054095,0.5011834,0.5350532,0.57581866,0.485936,0.68322766,0.67558324,0.4903686,0.63369286,0.80037767,0.56951237,0.43741408,0.73802304
0.6165981,0.46464542,0.576519,0.44762507,1.0,0.27873814,0.32461724,0.33547103,0.40186328,0.43064952,0.39285436,0.33245274,0.42017868,0.5067251,0.4644481,0.39708704,0.4602937,0.51096654,0.39970016,0.5588039,0.50259954
0.4044962,0.3281362,0.32335156,0.46693063,0.27873814,1.0,0.5367895,0.30948943,0.34929037,0.26667008,0.282239,0.41731566,0.33160472,0.4864868,0.27719444,0.3415241,0.41088802,0.4292998,0.39160997,0.23772727,0.54461384
0.4529508,0.32534093,0.4062638,0.42777056,0.32461724,0.5367895,1.0,0.3563076,0.3654623,0.25152546,0.27610114,0.3318039,0.42157805,0.5804924,0.2693534,0.29197615,0.408382,0.40760314,0.3347171,0.29473627,0.4541673
0.3564456,0.4393727,0.36409324,0.5297942,0.33547103,0.30948943,0.3563076,1.0,0.42299291,0.44301027,0.3986379,0.5068908,0.38807642,0.48561156,0.40500307,0.43577176,0.5196129,0.52906156,0.4201059,0.31987345,0.5413048
0.49265486,0.5737221,0.34512258,0.6054095,0.40186328,0.34929037,0.3654623,0.42299291,1.0,0.56627405,0.5033659,0.5613848,0.71068835,0.5408499,0.7232188,0.47735733,0.6026059,0.618861,0.54280555,0.46636212,0.5789598
0.42938673,0.44869152,0.27837807,0.5011834,0.43064952,0.26667008,0.25152546,0.44301027,0.56627405,1.0,0.41882715,0.5053247,0.59561276,0.48413822,0.52044827,0.49461395,0.49302977,0.586555,0.4221918,0.41734657,0.52209085
