Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.35303384,0.53458637,0.6303461,0.6466774,0.593279,0.5695685,0.37521195,0.53915864,0.4706064,0.53432655,0.40110847,0.49549127,0.6181812,0.5795901,0.45258978,0.4601523,0.62716,0.44890353,0.52235526,0.6268523
0.35303384,1.0,0.41091418,0.5338663,0.33398056,0.48090827,0.35871685,0.33938465,0.39701903,0.438224,0.49799174,0.33176473,0.24931684,0.48231927,0.73268807,0.49666283,0.46658805,0.58999383,0.5010117,0.47775325,0.5572981
0.53458637,0.41091418,1.0,0.5250746,0.5751891,0.613146,0.59922814,0.36802024,0.33475965,0.27541536,0.41201732,0.22973906,0.29526302,0.5216937,0.38104412,0.38275674,0.20025316,0.3961151,0.2968492,0.47409338,0.46905917
0.6303461,0.5338663,0.5250746,1.0,0.41056198,0.7108696,0.6011667,0.39472494,0.6372476,0.61374855,0.5816674,0.57149637,0.40338427,0.68088084,0.7402781,0.47999507,0.5593842,0.8059599,0.56649077,0.36961016,0.7858943
0.6466774,0.33398056,0.5751891,0.41056198,1.0,0.47972715,0.5234704,0.3841401,0.4065262,0.30051866,0.38598666,0.21323365,0.37640435,0.4947449,0.3167257,0.23137538,0.31632936,0.36846408,0.2964009,0.4361086,0.42800808
0.593279,0.48090827,0.613146,0.7108696,0.47972715,1.0,0.7747462,0.5248841,0.54531837,0.45344085,0.5251515,0.36996698,0.45971042,0.6552666,0.58302766,0.5569204,0.41435474,0.66589165,0.48295227,0.3940872,0.7343953
0.5695685,0.35871685,0.59922814,0.6011667,0.5234704,0.7747462,1.0,0.43778214,0.5263883,0.38946635,0.46604034,0.30545443,0.49517846,0.62985146,0.42126057,0.3797468,0.29508108,0.5417597,0.4094035,0.428508,0.539157
0.37521195,0.33938465,0.36802024,0.39472494,0.3841401,0.5248841,0.43778214,1.0,0.3885643,0.509134,0.4418233,0.4311034,0.24229333,0.49138665,0.4373153,0.40798986,0.40895092,0.45872104,0.35777664,0.17330569,0.6300007
0.53915864,0.39701903,0.33475965,0.6372476,0.4065262,0.54531837,0.5263883,0.3885643,1.0,0.57960486,0.4952351,0.54218626,0.62406284,0.54408073,0.63423574,0.41894093,0.5638738,0.6338702,0.60905707,0.34009233,0.5775235
0.4706064,0.438224,0.27541536,0.61374855,0.30051866,0.45344085,0.38946635,0.509134,0.57960486,1.0,0.51603085,0.66077936,0.40078598,0.5557256,0.7099373,0.42717505,0.5614227,0.6412612,0.5464944,0.26790267,0.67979693
0.53432655,0.49799174,0.41201732,0.5816674,0.38598666,0.5251515,0.46604034,0.4418233,0.4952351,0.51603085,1.0,0.7452338,0.36180574,0.8446405,0.5903051,0.6125716,0.5942295,0.60436434,0.43980646,0.5265739,0.6560942
0.40110847,0.33176473,0.22973906,0.57149637,0.21323365,0.36996698,0.30545443,0.4311034,0.54218626,0.66077936,0.7452338,1.0,0.34219187,0.65197533,0.59940016,0.46144572,0.6703145,0.63657075,0.5113341,0.17352226,0.6494043
0.49549127,0.24931684,0.29526302,0.40338427,0.37640435,0.45971042,0.49517846,0.24229333,0.62406284,0.40078598,0.36180574,0.34219187,1.0,0.44146678,0.38969618,0.34714746,0.41029418,0.37906283,0.3258872,0.33527464,0.34243834
0.6181812,0.48231927,0.5216937,0.68088084,0.4947449,0.6552666,0.62985146,0.49138665,0.54408073,0.5557256,0.8446405,0.65197533,0.44146678,1.0,0.5900935,0.52676916,0.53169835,0.6518133,0.41103813,0.49590978,0.7278153
0.5795901,0.73268807,0.38104412,0.7402781,0.3167257,0.58302766,0.42126057,0.4373153,0.63423574,0.7099373,0.5903051,0.59940016,0.38969618,0.5900935,1.0,0.6322794,0.65629584,0.87224376,0.68873274,0.41229203,0.78264546
0.45258978,0.49666283,0.38275674,0.47999507,0.23137538,0.5569204,0.3797468,0.40798986,0.41894093,0.42717505,0.6125716,0.46144572,0.34714746,0.52676916,0.6322794,1.0,0.5537844,0.5379753,0.4064218,0.5173885,0.6597203
0.46015227,0.4665881,0.20025313,0.5593843,0.3163293,0.41435477,0.29508108,0.40895092,0.56387365,0.5614227,0.5942297,0.67031455,0.41029415,0.5316982,0.656296,0.55378425,1.0,0.668227,0.51473105,0.23018333,0.60997736
0.6271601,0.589994,0.3961151,0.8059597,0.3684641,0.66589177,0.5417597,0.45872104,0.6338702,0.6412613,0.60436463,0.636571,0.37906283,0.65181327,0.8722439,0.53797525,0.668227,1.0,0.6823047,0.34939605,0.8153138
0.44890353,0.5010117,0.2968492,0.56649077,0.2964009,0.48295227,0.4094035,0.35777664,0.60905707,0.5464944,0.43980646,0.5113341,0.3258872,0.41103813,0.68873274,0.4064218,0.51473105,0.6823047,1.0,0.27734703,0.55986273
0.52235526,0.47775325,0.47409338,0.36961016,0.4361086,0.3940872,0.428508,0.17330569,0.34009233,0.26790267,0.5265739,0.17352226,0.33527464,0.49590978,0.41229203,0.5173885,0.23018333,0.34939605,0.27734703,1.0,0.3416456
0.6268523,0.5572981,0.46905917,0.7858943,0.42800808,0.7343953,0.539157,0.6300007,0.5775235,0.67979693,0.6560942,0.6494043,0.34243834,0.7278153,0.78264546,0.6597203,0.60997736,0.8153138,0.55986273,0.3416456,1.0
