Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.9008495,0.89828,0.88673145,0.8742473,0.8390871,0.84783673,0.8657749,0.8479935,0.8688791,0.887456,0.8758201,0.8339108,0.89162374,0.91650164,0.8938569,0.8885355,0.887996,0.86559546,0.89290655,0.9039444
0.9008495,1.0,0.86923707,0.8761548,0.8356062,0.817608,0.8298658,0.872717,0.8521255,0.875525,0.89278823,0.87857246,0.82359874,0.8761145,0.9335706,0.8998276,0.8932347,0.8937568,0.87284005,0.89824367,0.89840966
0.89828,0.86923707,1.0,0.86956686,0.8636463,0.8241919,0.86652225,0.84486264,0.8015102,0.8325601,0.8569665,0.849007,0.7992636,0.8768021,0.85955787,0.86033815,0.84589946,0.86154604,0.8163991,0.8715223,0.8565794
0.88673145,0.8761548,0.86956686,1.0,0.8414651,0.8508718,0.85451084,0.8970199,0.86114955,0.87346417,0.8749514,0.8870965,0.82433045,0.9081291,0.89686775,0.8802859,0.89889884,0.93473566,0.88113856,0.86091083,0.93051636
0.8742473,0.8356062,0.8636463,0.8414651,1.0,0.8211562,0.8526497,0.81821156,0.8183146,0.82098806,0.8336154,0.80631393,0.8110255,0.8557203,0.83184886,0.83482474,0.83089584,0.84018046,0.844086,0.85824955,0.8365535
0.8390871,0.817608,0.8241919,0.8508718,0.8211562,1.0,0.8954437,0.84750175,0.8152928,0.81268436,0.8181772,0.82542795,0.8015526,0.841446,0.81626594,0.84595114,0.8274149,0.83488834,0.86696005,0.8131451,0.85073006
0.84783673,0.8298658,0.86652225,0.85451084,0.8526497,0.8954437,1.0,0.8522421,0.81454647,0.8179272,0.8294512,0.8245816,0.8183535,0.88041794,0.8317356,0.8450366,0.83445305,0.84931827,0.85613406,0.8355696,0.84398896
0.8657749,0.872717,0.84486264,0.8970199,0.81821156,0.84750175,0.8522421,1.0,0.8433839,0.8679522,0.86272216,0.88556623,0.8258552,0.88521934,0.8747971,0.8730854,0.8871199,0.89764035,0.87233627,0.83355284,0.90484667
0.8479935,0.8521255,0.8015102,0.86114955,0.8183146,0.8152928,0.81454647,0.8433839,1.0,0.8810563,0.8567093,0.85468996,0.9046025,0.8561588,0.86512834,0.8578454,0.86852765,0.8683745,0.86586785,0.8530232,0.8723306
0.8688791,0.875525,0.8325601,0.87346417,0.82098806,0.81268436,0.8179272,0.8679522,0.8810563,1.0,0.86700875,0.881618,0.8647653,0.8846353,0.89239943,0.87875605,0.88301,0.89554894,0.86718154,0.8591434,0.8922066
0.887456,0.89278823,0.8569665,0.8749514,0.8336154,0.8181772,0.8294512,0.86272216,0.8567093,0.86700875,1.0,0.89496845,0.82995063,0.88893664,0.8915014,0.91599536,0.88287544,0.8826763,0.8650776,0.90389526,0.88295186
0.8758201,0.87857246,0.849007,0.8870965,0.80631393,0.82542795,0.8245816,0.88556623,0.85468996,0.881618,0.89496845,1.0,0.8256667,0.90564406,0.8877304,0.8940392,0.9120004,0.9116094,0.8600384,0.8411538,0.90858006
0.8339108,0.82359874,0.7992636,0.82433045,0.8110255,0.8015526,0.8183535,0.8258552,0.9046025,0.8647653,0.82995063,0.8256667,1.0,0.8317686,0.84304583,0.82362217,0.84546256,0.83970016,0.828006,0.83669734,0.8366729
0.89162374,0.8761145,0.8768021,0.9081291,0.8557203,0.841446,0.88041794,0.88521934,0.8561588,0.8846353,0.88893664,0.90564406,0.8317686,1.0,0.88660324,0.89605033,0.8903389,0.92713845,0.86933106,0.85773647,0.91782784
0.91650164,0.9335706,0.85955787,0.89686775,0.83184886,0.81626594,0.8317356,0.8747971,0.86512834,0.89239943,0.8915014,0.8877304,0.84304583,0.88660324,1.0,0.91324484,0.92328966,0.9303336,0.89648396,0.88387,0.91548574
