Non riuscivo proprio a provare delle emozioni positive,Ho avuto un'estrema difficoltà nel cominciare quello che dovevo fare,Non vedevo nulla di buono nel mio futuro,Mi sono sentito scoraggiato e depresso,Non c'era nulla che mi dava entusiasmo,Sentivo di valere poco come persona,Sentivo la vita priva di significato,Mi sono accorto di avere la bocca secca,"Mi sono sentito molto in affanno e con difficoltà a respirare (per es. respiro molto accelerato, sensazione di forte affanno in assenza di sforzo fisico",Ho avuto tremori (per es. alle mani),Ho temuto di trovarmi in situazioni in cui sarei potuto andare nel panico e rendermi ridicolo,Ho sentito di essere vicino ad avere un attacco di panico,Ho percepito distintamente il battito del mio cuore senza aver fatto uno sforzo fisico (per es. battito cardiaco accelarato o perdita di un battito),Mi sono sentito spaventato senza ragione,Ho provato molta tensione e ho avuto difficoltà,Ho avuto la tendenza a reagire in maniera eccessiva alle situazioni ,Ho sentito che stavo impiegando molta energia nervosa,Mi sono sentito stressato,Ho avuo difficoltà a rilassarmi,Non riuscivo a tollerare per nulla eventi o situazioni che mi impedivano di portare avanti ciò che stavo facendo,Mi sono sentito piuttosto irritabile
1.0,0.459907,0.629625,0.68777895,0.70562506,0.52942765,0.550071,0.3838084,0.45155844,0.40737116,0.46800846,0.4445719,0.3234986,0.5885228,0.5332471,0.4049795,0.49494198,0.6179924,0.5228159,0.5485544,0.6151874
0.459907,1.0,0.39278173,0.48399365,0.35563564,0.36722934,0.29256952,0.30707872,0.34393162,0.37388647,0.5067647,0.36895794,0.17617065,0.4251513,0.69146776,0.44143572,0.53695977,0.524429,0.5285209,0.5781561,0.5356354
0.629625,0.39278173,1.0,0.6384609,0.6665843,0.5769726,0.62723505,0.3291093,0.24111158,0.23926812,0.49492496,0.31434497,0.17345594,0.5046191,0.3648913,0.33212733,0.3122307,0.46651888,0.27334255,0.5000745,0.45584896
0.68777895,0.48399365,0.6384609,1.0,0.5947175,0.63558257,0.58282036,0.43079215,0.41636515,0.37485135,0.5526912,0.4447277,0.2219516,0.56444037,0.5715175,0.5002029,0.5503862,0.74457914,0.51688826,0.48657364,0.70557284
0.70562506,0.35563564,0.6665843,0.5947175,1.0,0.5498777,0.6188494,0.41138977,0.33858943,0.29036313,0.35907412,0.28200215,0.27412474,0.5085077,0.354239,0.31333056,0.424228,0.49459732,0.3976293,0.44826818,0.5676814
0.52942765,0.36722934,0.5769726,0.63558257,0.5498777,1.0,0.7342718,0.3443981,0.2806039,0.27036953,0.48899263,0.31687582,0.2527756,0.53161764,0.38039857,0.49104002,0.4207189,0.5005021,0.28533876,0.36871743,0.5490556
0.550071,0.29256952,0.62723505,0.58282036,0.6188494,0.7342718,1.0,0.3166228,0.31553733,0.22727159,0.4235456,0.28254834,0.332092,0.48961312,0.3317306,0.38158095,0.3486828,0.43004245,0.26935226,0.36811307,0.43683267
0.3838084,0.30707872,0.3291093,0.43079215,0.41138977,0.3443981,0.3166228,1.0,0.5002564,0.42410043,0.40083677,0.47192478,0.30003077,0.45490623,0.43211237,0.38994187,0.50752574,0.5052905,0.45910686,0.21983477,0.6054795
0.45155844,0.34393162,0.24111158,0.41636515,0.33858943,0.2806039,0.31553733,0.5002564,1.0,0.57748544,0.4699123,0.58487713,0.5875397,0.47790104,0.49055284,0.34918535,0.59952784,0.5246848,0.55936337,0.4001774,0.48656532
0.40737116,0.37388647,0.23926812,0.37485135,0.29036313,0.27036953,0.22727159,0.42410043,0.57748544,1.0,0.5064974,0.6253249,0.46535867,0.5221032,0.5073024,0.40636373,0.59392095,0.5198842,0.50925916,0.31506202,0.5337107
0.46800846,0.5067647,0.49492496,0.5526912,0.35907412,0.48899263,0.4235456,0.40083677,0.4699123,0.5064974,1.0,0.7725768,0.3070673,0.770192,0.62987065,0.67825556,0.63645816,0.6941763,0.4528777,0.55873954,0.62448704
0.4445719,0.36895794,0.31434497,0.4447277,0.28200215,0.31687582,0.28254834,0.47192478,0.58487713,0.6253249,0.7725768,1.0,0.4085287,0.6628102,0.5738973,0.51925117,0.6345411,0.6345036,0.4775476,0.3901128,0.5550782
0.3234986,0.17617065,0.17345594,0.2219516,0.27412474,0.2527756,0.332092,0.30003077,0.5875397,0.46535867,0.3070673,0.4085287,1.0,0.34425366,0.26500794,0.2753812,0.46339396,0.31848532,0.35033783,0.2741965,0.28355464
0.5885228,0.4251513,0.5046191,0.56444037,0.5085077,0.53161764,0.48961312,0.45490623,0.47790104,0.5221032,0.770192,0.6628102,0.34425366,1.0,0.524094,0.5302067,0.60768783,0.68225706,0.42482528,0.4998346,0.67549425
0.5332471,0.69146776,0.3648913,0.5715175,0.354239,0.38039857,0.3317306,0.43211237,0.49055284,0.5073024,0.62987065,0.5738973,0.26500794,0.524094,1.0,0.6145959,0.77031237,0.7963369,0.70951056,0.53678346,0.6893066
0.4049795,0.44143572,0.33212733,0.5002029,0.31333056,0.49104002,0.38158095,0.38994187,0.34918535,0.40636373,0.67825556,0.51925117,0.2753812,0.5302067,0.6145959,1.0,0.6279265,0.64241564,0.5231955,0.46483046,0.6458863
0.49494195,0.53695977,0.3122307,0.5503863,0.424228,0.42071897,0.3486828,0.5075257,0.59952784,0.5939208,0.6364583,0.63454103,0.46339405,0.6076879,0.77031225,0.6279267,1.0,0.7715775,0.6705588,0.48833147,0.74033415
0.6179924,0.524429,0.4665189,0.74457896,0.49459726,0.50050205,0.43004242,0.50529057,0.52468485,0.51988435,0.69417644,0.6345037,0.31848526,0.68225706,0.79633695,0.6424155,0.7715775,1.0,0.66097826,0.49889606,0.8128689
0.5228159,0.5285209,0.27334255,0.51688826,0.3976293,0.28533876,0.26935226,0.45910686,0.55936337,0.50925916,0.4528777,0.4775476,0.35033783,0.42482528,0.70951056,0.5231955,0.6705588,0.66097826,1.0,0.44057873,0.6195477
0.5485544,0.5781561,0.5000745,0.48657364,0.44826818,0.36871743,0.36811307,0.21983477,0.4001774,0.31506202,0.55873954,0.3901128,0.2741965,0.4998346,0.53678346,0.46483046,0.48833147,0.49889606,0.44057873,1.0,0.49256587
0.6151874,0.5356354,0.45584896,0.70557284,0.5676814,0.5490556,0.43683267,0.6054795,0.48656532,0.5337107,0.62448704,0.5550782,0.28355464,0.67549425,0.6893066,0.6458863,0.74033415,0.8128689,0.6195477,0.49256587,1.0
