I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.27464736,0.4060845,0.49560645,0.42112237,0.35306412,0.39547822,0.15526919,0.17515956,0.14675143,0.25216514,0.3068976,0.12642604,0.36237794,0.26860046,0.20408857,0.3684114,0.29643816,0.29494065,0.2801662,0.12268118
0.27464736,1.0,0.31399697,0.2786767,0.33010274,0.24649741,0.18398686,0.18314804,0.21668571,0.15200579,0.28199297,0.2532991,0.1814993,0.21377426,0.3084279,0.22781175,0.26760358,0.2559628,0.18186891,0.29897863,0.14699113
0.4060845,0.31399697,1.0,0.44287872,0.35620204,0.377249,0.45439792,0.17852241,0.1332894,0.11129327,0.25892168,0.35037458,0.05971265,0.3657352,0.21109948,0.18012974,0.257435,0.2964322,0.24240632,0.27204424,0.2048322
0.49560645,0.2786767,0.44287872,1.0,0.30297688,0.40360418,0.42507336,0.23635317,0.14460658,0.21912067,0.33157372,0.44299757,0.11788647,0.40867114,0.2836382,0.30918387,0.42702138,0.39618927,0.30843872,0.2397067,0.2286146
0.42112237,0.33010274,0.35620204,0.30297688,1.0,0.16640127,0.21405725,0.15703492,0.08855376,0.1538996,0.21458194,0.21742706,0.06653343,0.20910327,0.2581073,0.16398953,0.20833436,0.2801786,0.15754142,0.2827456,0.123211235
0.35306412,0.24649741,0.377249,0.40360418,0.16640127,1.0,0.42544603,0.11569914,0.14530864,0.13091058,0.2583602,0.2572838,0.07684438,0.24008152,0.15759094,0.24050272,0.30405062,0.22083297,0.17741627,0.23552644,0.20545737
0.39547822,0.18398686,0.45439792,0.42507336,0.21405725,0.42544603,1.0,0.16481471,0.121382624,0.1714916,0.21164498,0.3296251,0.11190233,0.26274705,0.22501953,0.20334056,0.3009482,0.27906716,0.21790221,0.21140859,0.19161329
0.15526919,0.18314804,0.17852241,0.23635317,0.15703492,0.11569914,0.16481471,1.0,0.24922466,0.28255096,0.27176937,0.27379346,0.1765108,0.23533607,0.22374463,0.2158471,0.2339393,0.261715,0.265859,0.06163378,0.094963074
0.17515956,0.21668571,0.1332894,0.14460658,0.08855376,0.14530864,0.121382624,0.24922466,1.0,0.38295007,0.27380675,0.25205874,0.46931636,0.24549612,0.26579732,0.18399459,0.2966127,0.17195563,0.27640143,0.13456206,0.067380734
0.14675143,0.15200579,0.11129327,0.21912067,0.1538996,0.13091058,0.1714916,0.28255096,0.38295007,1.0,0.41913587,0.44152796,0.31388646,0.36509112,0.21535079,0.2596231,0.45192233,0.2827757,0.27808937,0.12142608,0.18252933
0.25216514,0.28199297,0.25892168,0.33157372,0.21458194,0.2583602,0.21164498,0.27176937,0.27380675,0.41913587,1.0,0.72221285,0.2139383,0.5351413,0.28875533,0.38221171,0.5000298,0.5017861,0.44248316,0.27187982,0.3230425
0.3068976,0.2532991,0.35037458,0.44299757,0.21742706,0.2572838,0.3296251,0.27379346,0.25205874,0.44152796,0.72221285,1.0,0.15578303,0.60252863,0.3151016,0.3824489,0.5504707,0.5596343,0.47215936,0.2286077,0.30632058
0.12642604,0.1814993,0.05971265,0.11788647,0.06653343,0.07684438,0.11190233,0.1765108,0.46931636,0.31388646,0.2139383,0.15578303,1.0,0.18747418,0.04498037,0.12790456,0.23426858,0.06070242,0.13242695,-0.016388258,0.07061116
0.36237794,0.21377426,0.3657352,0.40867114,0.20910327,0.24008152,0.26274705,0.23533607,0.24549612,0.36509112,0.5351413,0.60252863,0.18747418,1.0,0.23233406,0.3071936,0.4211049,0.41474557,0.31144515,0.21983516,0.1991655
