I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.44412112,0.65840375,0.4743535,0.64605606,0.54200214,0.5201964,0.26923114,0.40319896,0.33241436,0.25559384,0.43062115,0.3726331,0.57507074,0.39743125,0.40799582,0.47938,0.4172961,0.38420224,0.40430224,0.54813755
0.44412112,1.0,0.52289057,0.42932135,0.56806314,0.46243438,0.48325336,0.3098893,0.41365245,0.32996225,0.4142874,0.428778,0.34653354,0.41792238,0.5886239,0.51395047,0.46124396,0.53176785,0.5809706,0.6110983,0.4980625
0.65840375,0.52289057,1.0,0.53530085,0.61982906,0.6378863,0.6487748,0.35830626,0.39479905,0.32203078,0.36011967,0.55697405,0.38480356,0.64575875,0.4875792,0.42479116,0.47348827,0.546921,0.4662016,0.57267994,0.63211775
0.4743535,0.42932135,0.53530085,1.0,0.42340842,0.4793164,0.57646227,0.44504014,0.2928344,0.36118722,0.38056886,0.5472876,0.3534996,0.5138831,0.52541596,0.3789174,0.4572906,0.5554539,0.4622388,0.29437184,0.58488655
0.64605606,0.56806314,0.61982906,0.42340842,1.0,0.48932046,0.43098298,0.32411003,0.3794852,0.30021077,0.3844003,0.40628344,0.32887024,0.55628633,0.45822805,0.49943227,0.37371925,0.5231198,0.45507246,0.6869377,0.46256587
0.54200214,0.46243438,0.6378863,0.4793164,0.48932046,1.0,0.66793674,0.2918679,0.37030613,0.3212238,0.3038336,0.5107434,0.36123937,0.5406556,0.4402966,0.4150526,0.52241004,0.45793104,0.44478175,0.39207762,0.6752742
0.5201964,0.48325336,0.6487748,0.57646227,0.43098298,0.66793674,1.0,0.41915137,0.4166143,0.32917908,0.3143588,0.54331654,0.42138433,0.57787377,0.48227546,0.355305,0.51454157,0.53144467,0.47044903,0.34360716,0.63295317
0.26923114,0.3098893,0.35830626,0.44504014,0.32411003,0.2918679,0.41915137,1.0,0.3468191,0.38566566,0.32207146,0.47113973,0.32967347,0.34791094,0.5075649,0.353472,0.35565978,0.4900732,0.41500264,0.28712615,0.4712694
0.40319896,0.41365245,0.39479905,0.2928344,0.3794852,0.37030613,0.4166143,0.3468191,1.0,0.61025965,0.34083956,0.37097853,0.73318946,0.37969965,0.44467804,0.35622045,0.40871283,0.4055699,0.4825752,0.33061612,0.36027813
0.33241436,0.32996225,0.32203078,0.36118722,0.30021077,0.3212238,0.32917908,0.38566566,0.61025965,1.0,0.34293377,0.42738324,0.6092621,0.2920162,0.37416455,0.3790648,0.36520123,0.4572419,0.3597643,0.2975188,0.4476514
