I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.15112248,0.63212395,0.53019315,0.71550226,0.38746107,0.4029584,0.14311843,0.28945845,0.3510874,0.28055656,0.39627433,0.2996026,0.5341904,0.28943834,0.27537677,0.27422243,0.3283193,0.3585403,0.30742282,0.3683755
0.15112248,1.0,0.34171072,0.2704362,0.44247442,0.3467257,0.28805178,0.043854825,0.21337289,0.24987252,0.3196619,0.21569201,0.19168992,0.24281187,0.5622819,0.4434255,0.36005315,0.45606625,0.4501953,0.45224917,0.32874107
0.63212395,0.34171072,1.0,0.4993454,0.65549576,0.52111614,0.6106906,0.068812594,0.17661807,0.24554965,0.32107472,0.41316652,0.24634287,0.56067926,0.3974201,0.33937222,0.2724778,0.32946822,0.3928321,0.50108635,0.3892722
0.53019315,0.2704362,0.4993454,1.0,0.5056829,0.49121144,0.44714767,0.41399682,0.28856674,0.5049288,0.42337942,0.53493124,0.29756293,0.53794205,0.5733882,0.48309135,0.42999643,0.5629865,0.4971037,0.4709723,0.5588294
0.71550226,0.44247442,0.65549576,0.5056829,1.0,0.4433502,0.4238171,0.142569,0.36946666,0.40430972,0.44678238,0.46487486,0.30672815,0.5496552,0.46483505,0.44375703,0.4544473,0.5601152,0.47944617,0.552829,0.43259114
0.38746107,0.3467257,0.52111614,0.49121144,0.4433502,1.0,0.5938075,0.21164037,0.13864867,0.16206798,0.273528,0.24093902,0.11509323,0.41373122,0.44096896,0.4029899,0.28058627,0.28273854,0.29373914,0.4528595,0.47625154
0.4029584,0.28805178,0.6106906,0.44714767,0.4238171,0.5938075,1.0,0.113857225,0.29591855,0.25101483,0.2629245,0.34631094,0.29027033,0.42279434,0.39436242,0.26353765,0.19882515,0.2564234,0.40554288,0.39522585,0.36124766
0.14311843,0.043854825,0.068812594,0.41399682,0.142569,0.21164037,0.113857225,1.0,0.29018468,0.4659456,0.288269,0.33928204,0.16406554,0.26123506,0.31491786,0.23966691,0.34001935,0.30845138,0.29858235,0.20403644,0.45696574
0.28945845,0.21337289,0.17661807,0.28856674,0.36946666,0.13864867,0.29591855,0.29018468,1.0,0.5819918,0.36500356,0.40614802,0.6076606,0.33974624,0.3480296,0.29108018,0.4458874,0.4056391,0.5104951,0.21339667,0.2555014
0.3510874,0.24987252,0.24554965,0.5049288,0.40430972,0.16206798,0.25101483,0.4659456,0.5819918,1.0,0.5060253,0.6550907,0.39385775,0.515791,0.49917763,0.3167079,0.5468367,0.6879945,0.5845752,0.2870254,0.5757433
0.28055656,0.3196619,0.32107472,0.42337942,0.44678238,0.273528,0.2629245,0.288269,0.36500356,0.5060253,1.0,0.7789926,0.2434113,0.66153383,0.35097775,0.52566123,0.58114696,0.6175258,0.511531,0.49821874,0.45391154
0.39627433,0.21569201,0.41316652,0.53493124,0.46487486,0.24093902,0.34631094,0.33928204,0.40614802,0.6550907,0.7789926,1.0,0.30696225,0.74205434,0.43000308,0.37826478,0.6469449,0.6493505,0.55902684,0.42316818,0.51346684
0.2996026,0.19168992,0.24634287,0.29756293,0.30672815,0.11509323,0.29027033,0.16406554,0.6076606,0.39385775,0.2434113,0.30696225,1.0,0.3153578,0.23884147,0.24877822,0.4290248,0.32765532,0.27327794,0.18903312,0.22771391
0.5341904,0.24281187,0.56067926,0.53794205,0.5496552,0.41373122,0.42279434,0.26123506,0.33974624,0.515791,0.66153383,0.74205434,0.3153578,1.0,0.4086455,0.36945307,0.52733517,0.520795,0.45871913,0.43790948,0.48939407
0.28943834,0.5622819,0.3974201,0.5733882,0.46483505,0.44096896,0.39436242,0.31491786,0.3480296,0.49917763,0.35097775,0.43000308,0.23884147,0.4086455,1.0,0.46908978,0.44406423,0.54186726,0.648144,0.47849554,0.58317775
0.27537677,0.4434255,0.33937222,0.48309135,0.44375703,0.4029899,0.26353765,0.23966691,0.29108018,0.3167079,0.52566123,0.37826478,0.24877822,0.36945307,0.46908978,1.0,0.41155416,0.5242983,0.44058573,0.58045065,0.4861598
0.27422237,0.36005312,0.27247784,0.4299963,0.4544473,0.28058627,0.19882515,0.3400194,0.4458874,0.54683656,0.58114684,0.6469449,0.42902473,0.5273351,0.44406426,0.4115541,1.0,0.65699786,0.48405245,0.41808343,0.4786169
0.32831937,0.45606607,0.32946825,0.56298655,0.56011534,0.2827385,0.25642338,0.3084513,0.4056391,0.6879946,0.6175258,0.6493503,0.3276554,0.52079487,0.5418673,0.5242983,0.65699786,1.0,0.58517027,0.5100825,0.61105555
0.3585403,0.4501953,0.3928321,0.4971037,0.47944617,0.29373914,0.40554288,0.29858235,0.5104951,0.5845752,0.511531,0.55902684,0.27327794,0.45871913,0.648144,0.44058573,0.48405245,0.58517027,1.0,0.38508788,0.50761116
0.30742282,0.45224917,0.50108635,0.4709723,0.552829,0.4528595,0.39522585,0.20403644,0.21339667,0.2870254,0.49821874,0.42316818,0.18903312,0.43790948,0.47849554,0.58045065,0.41808343,0.5100825,0.38508788,1.0,0.4252625
0.3683755,0.32874107,0.3892722,0.5588294,0.43259114,0.47625154,0.36124766,0.45696574,0.2555014,0.5757433,0.45391154,0.51346684,0.22771391,0.48939407,0.58317775,0.4861598,0.4786169,0.61105555,0.50761116,0.4252625,1.0
