I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.31196073,0.52799654,0.40627918,0.63767624,0.3469617,0.39125133,0.3208686,0.36676392,0.34544235,0.19457364,0.33941436,0.285757,0.45130265,0.4300757,0.21900675,0.41431206,0.42008132,0.48427463,0.28181198,0.3319547
0.31196073,1.0,0.30487496,0.30675673,0.45239612,0.30774516,0.3090011,0.2179932,0.3922819,0.2982872,0.38584736,0.31324095,0.25615054,0.29588088,0.5925708,0.39721036,0.4100376,0.4363368,0.65245897,0.45249927,0.35075653
0.52799654,0.30487496,1.0,0.4772036,0.5384218,0.5206477,0.65958947,0.31955355,0.24181661,0.25912032,0.37616703,0.45224229,0.26731217,0.5327567,0.38754958,0.32793984,0.4320221,0.34634694,0.43266648,0.3561678,0.34761983
0.40627918,0.30675673,0.4772036,1.0,0.29490072,0.4884448,0.5301026,0.31890282,0.35283712,0.41243052,0.35045278,0.45405126,0.34259364,0.5008619,0.45011824,0.2586401,0.4123452,0.4536722,0.50450075,0.3767346,0.49913105
0.63767624,0.45239612,0.5384218,0.29490072,1.0,0.32166103,0.36264622,0.29890978,0.31609076,0.28712946,0.2617511,0.3195952,0.2346209,0.40233165,0.3679105,0.33643067,0.3560878,0.37090042,0.4227795,0.40320313,0.364524
0.3469617,0.30774516,0.5206477,0.4884448,0.32166103,1.0,0.6581139,0.29675686,0.23199484,0.28264737,0.3984391,0.36594558,0.2219099,0.44245294,0.31847262,0.26069754,0.37094462,0.35828143,0.38195235,0.38563442,0.50158626
0.39125133,0.3090011,0.65958947,0.5301026,0.36264622,0.6581139,1.0,0.3322236,0.3551587,0.30444673,0.31530383,0.3775766,0.3058198,0.4947991,0.42441988,0.19951919,0.36654693,0.32998678,0.43197438,0.36186957,0.34749132
0.3208686,0.2179932,0.31955355,0.31890282,0.29890978,0.29675686,0.3322236,1.0,0.5392885,0.41365665,0.2863946,0.39414436,0.28633472,0.34889174,0.43484917,0.2703423,0.3886008,0.3899253,0.42886803,0.32818982,0.46147722
0.36676392,0.3922819,0.24181661,0.35283712,0.31609076,0.23199484,0.3551587,0.5392885,1.0,0.5263045,0.3938229,0.50718343,0.66857135,0.37993136,0.56580496,0.39383936,0.5729309,0.5553551,0.6323641,0.41635746,0.37188074
0.34544235,0.2982872,0.25912032,0.41243052,0.28712946,0.28264737,0.30444673,0.41365665,0.5263045,1.0,0.4797482,0.5998483,0.37056184,0.5147722,0.4107741,0.4598503,0.5789294,0.5472003,0.44124115,0.30800432,0.55850375
0.19457364,0.38584736,0.37616703,0.35045278,0.2617511,0.3984391,0.31530383,0.2863946,0.3938229,0.4797482,1.0,0.78517437,0.3469357,0.58662695,0.30254865,0.67835927,0.64530194,0.5891285,0.46311587,0.451011,0.5079862
0.33941436,0.31324095,0.45224229,0.45405126,0.3195952,0.36594558,0.3775766,0.39414436,0.50718343,0.5998483,0.78517437,1.0,0.4666056,0.64919233,0.3838391,0.62633324,0.7440591,0.65298545,0.4896089,0.42383566,0.5424167
0.285757,0.25615054,0.26731217,0.34259364,0.2346209,0.2219099,0.3058198,0.28633472,0.66857135,0.37056184,0.3469357,0.4666056,1.0,0.300197,0.34018928,0.33423063,0.43247026,0.3847975,0.4005926,0.31092727,0.2962883
0.45130265,0.29588088,0.5327567,0.5008619,0.40233165,0.44245294,0.4947991,0.34889174,0.37993136,0.5147722,0.58662695,0.64919233,0.300197,1.0,0.35088718,0.36514282,0.5624678,0.47639924,0.43734783,0.4735686,0.44589335
0.4300757,0.5925708,0.38754958,0.45011824,0.3679105,0.31847262,0.42441988,0.43484917,0.56580496,0.4107741,0.30254865,0.3838391,0.34018928,0.35088718,1.0,0.33745342,0.46763682,0.5242282,0.76164234,0.43995675,0.42984855
0.21900675,0.39721036,0.32793984,0.2586401,0.33643067,0.26069754,0.19951919,0.2703423,0.39383936,0.4598503,0.67835927,0.62633324,0.33423063,0.36514282,0.33745342,1.0,0.6032123,0.5938497,0.47232676,0.44967335,0.527406
0.41431198,0.41003752,0.4320221,0.41234505,0.35608792,0.37094456,0.36654693,0.3886009,0.57293093,0.5789294,0.645302,0.7440591,0.43247023,0.5624677,0.467637,0.6032123,1.0,0.72207254,0.57466555,0.4369329,0.55006725
0.4200813,0.43633687,0.34634688,0.45367217,0.3709004,0.3582814,0.32998675,0.38992542,0.555355,0.5472003,0.58912843,0.6529856,0.38479748,0.4763993,0.5242282,0.59384954,0.72207254,1.0,0.66468954,0.5706959,0.5973024
0.48427463,0.65245897,0.43266648,0.50450075,0.4227795,0.38195235,0.43197438,0.42886803,0.6323641,0.44124115,0.46311587,0.4896089,0.4005926,0.43734783,0.76164234,0.47232676,0.57466555,0.66468954,1.0,0.5665607,0.5227222
0.28181198,0.45249927,0.3561678,0.3767346,0.40320313,0.38563442,0.36186957,0.32818982,0.41635746,0.30800432,0.451011,0.42383566,0.31092727,0.4735686,0.43995675,0.44967335,0.4369329,0.5706959,0.5665607,1.0,0.52581215
0.3319547,0.35075653,0.34761983,0.49913105,0.364524,0.50158626,0.34749132,0.46147722,0.37188074,0.55850375,0.5079862,0.5424167,0.2962883,0.44589335,0.42984855,0.527406,0.55006725,0.5973024,0.5227222,0.52581215,1.0
