I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.8534091,0.910705,0.85916233,0.90366113,0.88561034,0.8880496,0.8142838,0.8361292,0.8281337,0.8257586,0.86818564,0.811516,0.90243024,0.8514874,0.8453604,0.86409724,0.85520315,0.87159187,0.8505584,0.85485595
0.8534091,1.0,0.86654437,0.82973695,0.8783759,0.85757387,0.8532989,0.8187306,0.8132725,0.82669246,0.84347177,0.8411554,0.7950989,0.8325784,0.8935547,0.86250687,0.85624796,0.8614203,0.88458097,0.8702613,0.8484139
0.910705,0.86654437,1.0,0.85742366,0.91455436,0.9011905,0.91341996,0.8238989,0.8109536,0.8217314,0.8382919,0.8704096,0.7930118,0.8830088,0.8746659,0.8610146,0.8499292,0.86417663,0.88415074,0.8717259,0.8531014
0.85916233,0.82973695,0.85742366,1.0,0.8579911,0.86602634,0.8735056,0.8493979,0.8217596,0.84636855,0.84895945,0.8753427,0.81341827,0.86465025,0.8801888,0.8531165,0.86577827,0.8747052,0.87152576,0.825456,0.86726016
0.90366113,0.8783759,0.91455436,0.8579911,1.0,0.8727017,0.8852165,0.83027625,0.8162162,0.8258407,0.84010446,0.8602586,0.80690753,0.8771825,0.8635243,0.87011766,0.8522541,0.8787657,0.8742874,0.88927543,0.83980024
0.88561034,0.85757387,0.9011905,0.86602634,0.8727017,1.0,0.9087659,0.8330559,0.81539714,0.82211685,0.8424735,0.8644121,0.79631627,0.86992776,0.8713714,0.8595485,0.8708835,0.86367476,0.873213,0.85221195,0.88166547
0.8880496,0.8532989,0.91341996,0.8735056,0.8852165,0.9087659,1.0,0.8387338,0.8320612,0.8316568,0.8286714,0.8714099,0.8218089,0.89160186,0.87697387,0.8491588,0.8547901,0.866928,0.87865144,0.8526043,0.85638875
0.8142838,0.8187306,0.8238989,0.8493979,0.83027625,0.8330559,0.8387338,1.0,0.8384845,0.85204595,0.85097516,0.8612512,0.8448125,0.8253677,0.84410405,0.8512329,0.8618912,0.86729467,0.8440515,0.8363534,0.8549098
0.8361292,0.8132725,0.8109536,0.8217596,0.8162162,0.81539714,0.8320612,0.8384845,1.0,0.89634335,0.8334458,0.8405006,0.9190786,0.84672064,0.82919604,0.8340275,0.8592736,0.8405438,0.8416947,0.82418513,0.8277946
0.8281337,0.82669246,0.8217314,0.84636855,0.8258407,0.82211685,0.8316568,0.85204595,0.89634335,1.0,0.8367058,0.86868936,0.855286,0.85345584,0.84817076,0.8587355,0.86246663,0.87264186,0.851771,0.80631614,0.87218016
