I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.24178436,0.61573875,0.528408,0.73675585,0.40662372,0.45509905,0.18044822,0.32911703,0.26914597,0.26720625,0.3848467,0.2523089,0.51562,0.38284737,0.23845333,0.41024303,0.40556392,0.43736574,0.4365189,0.3271473
0.24178436,1.0,0.29574007,0.30448774,0.46810514,0.3421625,0.29686075,0.24330795,0.3206465,0.26399708,0.35816145,0.2824344,0.24224985,0.24306652,0.6844006,0.45746005,0.4520252,0.5292197,0.6734604,0.48066562,0.3979007
0.61573875,0.29574007,1.0,0.5605079,0.63757545,0.522076,0.5705945,0.2652074,0.24041072,0.2614076,0.46305224,0.5019441,0.23300874,0.52530754,0.41179097,0.3244807,0.35806727,0.43016115,0.4524466,0.38936573,0.39591601
0.528408,0.30448774,0.5605079,1.0,0.52114344,0.47700745,0.47374657,0.34185076,0.31948173,0.39108986,0.4561234,0.5574723,0.3185989,0.510707,0.49874255,0.40432248,0.46299186,0.5372782,0.49258858,0.3832102,0.5390151
0.73675585,0.46810514,0.63757545,0.52114344,1.0,0.39243078,0.4367699,0.24166782,0.35714638,0.2712615,0.3210176,0.41134357,0.24218187,0.439677,0.51401114,0.38721076,0.41031194,0.5463126,0.5499457,0.5376576,0.34264547
0.40662372,0.3421625,0.522076,0.47700745,0.39243078,1.0,0.7206642,0.21867281,0.14897995,0.21003047,0.47088224,0.39410892,0.1959696,0.41312128,0.37149796,0.4475342,0.39184323,0.39693034,0.36586666,0.39222848,0.4723419
0.45509905,0.29686075,0.5705945,0.47374657,0.4367699,0.7206642,1.0,0.22338578,0.21111214,0.1877613,0.40552565,0.3772763,0.2636221,0.37732825,0.38128516,0.37952882,0.3667569,0.3618242,0.381281,0.38320783,0.32994947
0.18044822,0.24330795,0.2652074,0.34185076,0.24166782,0.21867281,0.22338578,1.0,0.48164657,0.39765084,0.33731943,0.38901284,0.37210086,0.35381815,0.4311876,0.34207928,0.3962128,0.42897284,0.39884943,0.2701348,0.4009014
0.32911703,0.3206465,0.24041072,0.31948173,0.35714638,0.14897995,0.21111214,0.48164657,1.0,0.50352514,0.38190943,0.44008496,0.605602,0.4165359,0.39430642,0.33909547,0.5303235,0.4083156,0.5112569,0.35392123,0.2844764
0.26914597,0.26399708,0.2614076,0.39108986,0.2712615,0.21003047,0.1877613,0.39765084,0.50352514,1.0,0.49973452,0.5471803,0.3945287,0.51634413,0.34300408,0.39477485,0.49932355,0.48682898,0.41876066,0.3079616,0.5600111
0.26720625,0.35816145,0.46305224,0.4561234,0.3210176,0.47088224,0.40552565,0.33731943,0.38190943,0.49973452,1.0,0.8341011,0.30104896,0.68550116,0.41460532,0.672388,0.5560888,0.60757697,0.5363585,0.49811506,0.5942232
0.3848467,0.2824344,0.5019441,0.5574723,0.41134357,0.39410892,0.3772763,0.38901284,0.44008496,0.5471803,0.8341011,1.0,0.34608266,0.7338222,0.44729435,0.5524318,0.59145856,0.65381557,0.5415833,0.4534691,0.6014242
0.2523089,0.24224985,0.23300874,0.3185989,0.24218187,0.1959696,0.2636221,0.37210086,0.605602,0.3945287,0.30104896,0.34608266,1.0,0.3361443,0.24556643,0.30624515,0.52235436,0.3265698,0.36277342,0.23632385,0.2673859
0.51562,0.24306652,0.52530754,0.510707,0.439677,0.41312128,0.37732825,0.35381815,0.4165359,0.51634413,0.68550116,0.7338222,0.3361443,1.0,0.3691882,0.44932428,0.53885543,0.53263867,0.46785653,0.47686195,0.5680276
0.38284737,0.6844006,0.41179097,0.49874255,0.51401114,0.37149796,0.38128516,0.4311876,0.39430642,0.34300408,0.41460532,0.44729435,0.24556643,0.3691882,1.0,0.52087885,0.55607224,0.6398564,0.806,0.5721313,0.53520274
0.23845333,0.45746005,0.3244807,0.40432248,0.38721076,0.4475342,0.37952882,0.34207928,0.33909547,0.39477485,0.672388,0.5524318,0.30624515,0.44932428,0.52087885,1.0,0.5401079,0.6517811,0.563299,0.48760486,0.60597813
0.41024292,0.45202515,0.35806733,0.462992,0.41031197,0.3918431,0.36675677,0.3962127,0.53032357,0.49932352,0.5560887,0.5914585,0.5223545,0.5388554,0.5560721,0.5401079,1.0,0.6570191,0.66132355,0.46206808,0.5527948
0.40556392,0.5292197,0.43016118,0.5372783,0.5463126,0.3969304,0.3618242,0.42897278,0.40831554,0.48682892,0.60757685,0.6538157,0.32656974,0.5326387,0.6398565,0.65178114,0.6570191,1.0,0.7064189,0.5391574,0.6678771
0.43736574,0.6734604,0.4524466,0.49258858,0.5499457,0.36586666,0.381281,0.39884943,0.5112569,0.41876066,0.5363585,0.5415833,0.36277342,0.46785653,0.806,0.563299,0.66132355,0.7064189,1.0,0.6044579,0.57051766
0.4365189,0.48066562,0.38936573,0.3832102,0.5376576,0.39222848,0.38320783,0.2701348,0.35392123,0.3079616,0.49811506,0.4534691,0.23632385,0.47686195,0.5721313,0.48760486,0.46206808,0.5391574,0.6044579,1.0,0.41496676
0.3271473,0.3979007,0.39591601,0.5390151,0.34264547,0.4723419,0.32994947,0.4009014,0.2844764,0.5600111,0.5942232,0.6014242,0.2673859,0.5680276,0.53520274,0.60597813,0.5527948,0.6678771,0.57051766,0.41496676,1.0
