I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.30078307,0.5563311,0.47849053,0.5479961,0.38978803,0.54991066,0.37908632,0.23026896,0.40330768,0.2998523,0.3639797,0.28950968,0.4928959,0.3647443,0.26633006,0.5125486,0.34068286,0.48660767,0.306026,0.29676908
0.30078307,1.0,0.4586895,0.21715489,0.56642383,0.42289028,0.33881223,0.26418072,0.21102422,0.25057578,0.40801573,0.25707337,0.24464169,0.26352027,0.49909377,0.5320266,0.37458473,0.4419862,0.5220214,0.43868795,0.27785447
0.5563311,0.4586895,1.0,0.5561815,0.57829726,0.5525287,0.7082224,0.37587345,0.15870932,0.276774,0.32374054,0.47279054,0.21708551,0.5753043,0.37700385,0.33154917,0.37830427,0.37980515,0.5130166,0.3281008,0.368474
0.47849053,0.21715489,0.5561815,1.0,0.36962587,0.47835916,0.577135,0.39318568,0.08061566,0.24631307,0.21185532,0.5163162,0.22175977,0.5385496,0.26157716,0.30404824,0.40680677,0.38890624,0.3506338,0.25618464,0.43718597
0.5479961,0.56642383,0.57829726,0.36962587,1.0,0.39354157,0.4317841,0.28427494,0.16342853,0.27711043,0.2864218,0.28470156,0.14447646,0.35912177,0.39545995,0.41159853,0.3760877,0.4360693,0.480492,0.4523576,0.26140243
0.38978803,0.42289028,0.5525287,0.47835916,0.39354157,1.0,0.6787903,0.22011712,0.08072865,0.212271,0.2563364,0.30918044,0.16018355,0.40587932,0.21124326,0.47818726,0.3249444,0.30929926,0.3486665,0.37433425,0.42905974
0.54991066,0.33881223,0.7082224,0.577135,0.4317841,0.6787903,1.0,0.309075,0.1243601,0.27407113,0.23596564,0.43421957,0.24790981,0.5068267,0.2939334,0.35901326,0.3734542,0.36706632,0.40923923,0.33819842,0.3368337
0.37908632,0.26418072,0.37587345,0.39318568,0.28427494,0.22011712,0.309075,1.0,0.37843034,0.4828356,0.28432745,0.41684824,0.3351995,0.42143276,0.28848296,0.28373656,0.46641812,0.35503095,0.38451362,0.17171752,0.24795732
0.23026896,0.21102422,0.15870932,0.08061566,0.16342853,0.08072865,0.1243601,0.37843034,1.0,0.5417067,0.20121372,0.22020629,0.46087658,0.18769598,0.26683885,0.19207801,0.3638348,0.1742673,0.35671625,0.11372921,0.045691922
0.40330768,0.25057578,0.276774,0.24631307,0.27711043,0.212271,0.27407113,0.4828356,0.5417067,1.0,0.369203,0.43976906,0.44972694,0.4633308,0.25571406,0.37743595,0.61245525,0.34505934,0.42867768,0.18031186,0.29070127
