I couldn't seem to experience any positive feeling at all ,I found it difficult to work up the initiative to do things ,I felt that I had nothing to look forward to ,I felt down-hearted and blue,I was unable to become enthusiastic about anything ,I felt I wasn't worth much as a person ,I felt that life was meaningless ,I was aware of dryness of my mouth,"I experienced breathing difficulty (eg, excessively rapid breathing,
breathlessness in the absence of physical exertion)","I experienced trembling (eg, in the hands) ","I was worried about situations in which I might panic and make
a fool of myself",I felt I was close to panic ,"I was aware of the action of my heart in the absence of physical
exertion (eg, sense of heart rate increase, heart missing a beat)",I felt scared without any good reason,I found it hard to wind down,I tended to over-react to situations ,I felt that I was using a lot of nervous energy,I found myself getting agitated ,I found it difficult to relax ,"I was intolerant of anything that kept me from getting on with
what I was doing",I felt that I was rather touchy
1.0,0.7597788,0.85162973,0.8362243,0.9077888,0.82324886,0.8609768,0.7488216,0.7754866,0.8049598,0.7370559,0.7834852,0.76349294,0.81961286,0.78598166,0.7457572,0.8048816,0.81943977,0.8316684,0.7757287,0.7817151
0.7597788,1.0,0.7737887,0.7388543,0.8488492,0.77064526,0.7606076,0.7274914,0.77154523,0.749509,0.77116656,0.7514104,0.7180161,0.74737614,0.8343779,0.74822956,0.81235397,0.78997254,0.82906556,0.77955556,0.7880368
0.85162973,0.7737887,1.0,0.81384325,0.8695064,0.8261106,0.88270307,0.7547891,0.74350905,0.75388587,0.7455728,0.78458285,0.74328053,0.8085827,0.75702345,0.7385586,0.7649863,0.77664703,0.7927507,0.75328034,0.7561094
0.8362243,0.7388543,0.81384325,1.0,0.8145182,0.85655886,0.8493688,0.77340037,0.77508074,0.793275,0.750594,0.7979059,0.77133095,0.79352176,0.7805371,0.7645701,0.79785395,0.8230454,0.809576,0.74123424,0.80414295
0.9077888,0.8488492,0.8695064,0.8145182,1.0,0.81409305,0.83566177,0.77072215,0.7972096,0.8032883,0.77810013,0.78296304,0.7579029,0.80614305,0.8222165,0.78714967,0.8294197,0.83229357,0.84429884,0.82523066,0.7953695
0.82324886,0.77064526,0.8261106,0.85655886,0.81409305,1.0,0.89150566,0.7701298,0.756297,0.763805,0.7785364,0.7905512,0.7585914,0.80158585,0.74547684,0.7762141,0.7957305,0.7998608,0.7770231,0.7588607,0.8219843
0.8609768,0.7606076,0.88270307,0.8493688,0.83566177,0.89150566,1.0,0.75149345,0.76634353,0.7655086,0.7452112,0.79197514,0.7738049,0.8152505,0.7679243,0.7492588,0.7880934,0.7968518,0.79758006,0.7584965,0.7805673
0.7488216,0.7274914,0.7547891,0.77340037,0.77072215,0.7701298,0.75149345,1.0,0.84083354,0.7919885,0.77188045,0.793368,0.8252966,0.7610018,0.77760446,0.74658245,0.7748043,0.7705538,0.7822632,0.7453605,0.79103667
0.7754866,0.77154523,0.74350905,0.77508074,0.7972096,0.756297,0.76634353,0.84083354,1.0,0.8632806,0.8173891,0.85239124,0.8872477,0.8168725,0.8389994,0.81425714,0.848025,0.8314085,0.8515278,0.7961884,0.7967812
0.8049598,0.749509,0.75388587,0.793275,0.8032883,0.763805,0.7655086,0.7919885,0.8632806,1.0,0.84229594,0.8705826,0.820291,0.8614741,0.8234004,0.8257495,0.9073285,0.86661184,0.84081346,0.77830946,0.8576304
