Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.8644883,0.88693714,0.8501464,0.5957438,0.6641809,0.64061445,0.5913837,0.84387195,0.8702531,0.8117387,0.7736026
0.8644883,1.0,0.9442427,0.7558532,0.58787215,0.6332922,0.60403824,0.5891955,0.83531964,0.8520576,0.76897466,0.7353158
0.88693714,0.9442427,1.0,0.7462872,0.59098893,0.6483508,0.6115323,0.59713256,0.8157955,0.86221254,0.7906028,0.76833355
0.8501464,0.7558532,0.7462872,1.0,0.5831461,0.64471245,0.58911216,0.5051465,0.84768,0.85405684,0.74398065,0.8245275
0.5957438,0.58787215,0.59098893,0.5831461,1.0,0.6658944,0.7063022,0.6508086,0.59294695,0.61294764,0.71346915,0.64144677
0.6641809,0.6332922,0.6483508,0.64471245,0.6658944,1.0,0.55623865,0.5042982,0.6291419,0.6473509,0.62639713,0.6193756
0.64061445,0.60403824,0.6115323,0.58911216,0.7063022,0.55623865,1.0,0.8172283,0.6049913,0.61786544,0.7567913,0.6506324
0.5913837,0.5891955,0.59713256,0.5051465,0.6508086,0.5042982,0.8172283,1.0,0.59196705,0.5784266,0.73248243,0.5854151
0.84387195,0.83531964,0.8157955,0.84768,0.59294695,0.6291419,0.6049913,0.59196705,1.0,0.937199,0.7300962,0.78365374
0.8702531,0.8520576,0.86221254,0.85405684,0.61294764,0.6473509,0.61786544,0.5784266,0.937199,1.0,0.75727856,0.798664
0.8117387,0.76897466,0.7906028,0.74398065,0.71346915,0.62639713,0.7567913,0.73248243,0.7300962,0.75727856,1.0,0.75471455
0.7736026,0.7353158,0.76833355,0.8245275,0.64144677,0.6193756,0.6506324,0.5854151,0.78365374,0.798664,0.75471455,1.0
