Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.66717875,0.72968745,0.78759384,0.20642069,0.39263865,0.306632,0.23745438,0.66797054,0.6457988,0.3953909,0.5234859
0.66717875,1.0,0.841718,0.59696877,0.19307774,0.35013533,0.36397368,0.22939426,0.31266436,0.32220334,0.4683856,0.2990269
0.72968745,0.841718,1.0,0.6210336,0.21928242,0.35125428,0.227395,0.18990523,0.36549538,0.3549,0.43598896,0.3379849
0.78759384,0.59696877,0.6210336,1.0,0.22298935,0.4754762,0.27042452,0.2722929,0.5828656,0.59331965,0.36266744,0.52249426
0.20642069,0.19307774,0.21928242,0.22298935,1.0,0.32180825,0.15830666,0.11495693,0.13929707,0.117237225,0.20329475,0.121207386
0.39263865,0.35013533,0.35125428,0.4754762,0.32180825,1.0,0.32684174,0.3656773,0.2874266,0.3733215,0.28461438,0.26737767
0.306632,0.36397368,0.227395,0.27042452,0.15830666,0.32684174,1.0,0.51190925,0.29484245,0.33664143,0.37108922,0.26468962
0.23745438,0.22939426,0.18990523,0.2722929,0.11495693,0.3656773,0.51190925,1.0,0.26324108,0.29090327,0.21678445,0.16675049
0.66797054,0.31266436,0.36549538,0.5828656,0.13929707,0.2874266,0.29484245,0.26324108,1.0,0.8681661,0.3320897,0.63285744
0.6457988,0.32220334,0.3549,0.59331965,0.117237225,0.3733215,0.33664143,0.29090327,0.8681661,1.0,0.3205496,0.6117502
0.3953909,0.4683856,0.43598896,0.36266744,0.20329475,0.28461438,0.37108922,0.21678445,0.3320897,0.3205496,1.0,0.37088826
0.5234859,0.2990269,0.3379849,0.52249426,0.121207386,0.26737767,0.26468962,0.16675049,0.63285744,0.6117502,0.37088826,1.0
