Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.65013653,0.6895412,0.6429589,0.49001428,0.5917191,0.29206374,0.5187428,0.7481596,0.75150585,0.39454055,0.70451564
0.65013653,1.0,0.76437575,0.46883315,0.43049058,0.49873284,0.28427142,0.44167542,0.5607364,0.6192392,0.35045522,0.45872658
0.6895412,0.76437575,1.0,0.4897747,0.44930524,0.5175343,0.24675003,0.47587627,0.58436775,0.65867865,0.3437748,0.539341
0.6429589,0.46883315,0.4897747,1.0,0.56453407,0.5649611,0.467639,0.64309204,0.6167668,0.6377684,0.4496392,0.693812
0.49001428,0.43049058,0.44930524,0.56453407,1.0,0.5290897,0.5383478,0.7232509,0.46695143,0.5167079,0.59267557,0.5179425
0.5917191,0.49873284,0.5175343,0.5649611,0.5290897,1.0,0.35607308,0.55855334,0.5770833,0.61606824,0.41246742,0.57065475
0.29206374,0.28427142,0.24675003,0.467639,0.5383478,0.35607308,1.0,0.59902537,0.32453755,0.36926112,0.4753952,0.36863512
0.5187428,0.44167542,0.47587627,0.64309204,0.7232509,0.55855334,0.59902537,1.0,0.48962677,0.5605355,0.63417333,0.60005
0.7481596,0.5607364,0.58436775,0.6167668,0.46695143,0.5770833,0.32453755,0.48962677,1.0,0.76336324,0.3766206,0.6600072
0.75150585,0.6192392,0.65867865,0.6377684,0.5167079,0.61606824,0.36926112,0.5605355,0.76336324,1.0,0.4168675,0.6775444
0.39454055,0.35045522,0.3437748,0.4496392,0.59267557,0.41246742,0.4753952,0.63417333,0.3766206,0.4168675,1.0,0.4448071
0.70451564,0.45872658,0.539341,0.693812,0.5179425,0.57065475,0.36863512,0.60005,0.6600072,0.6775444,0.4448071,1.0
