Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.89232326,0.88301086,0.9316968,0.83886325,0.87524074,0.8324399,0.838897,0.8633493,0.86566985,0.8574256,0.8768544
0.89232326,1.0,0.9176793,0.8643594,0.810704,0.84759575,0.82498586,0.8085783,0.80336636,0.8082299,0.8413519,0.82564884
0.88301086,0.9176793,1.0,0.85894895,0.8094357,0.8456216,0.8067229,0.8077687,0.7966349,0.79909664,0.8201802,0.8126643
0.9316968,0.8643594,0.85894895,1.0,0.8372866,0.88385344,0.828496,0.8415602,0.87403476,0.87622976,0.85188615,0.88763756
0.83886325,0.810704,0.8094357,0.8372866,1.0,0.8736949,0.8656544,0.85936475,0.81163263,0.80945086,0.8510643,0.82254475
0.87524074,0.84759575,0.8456216,0.88385344,0.8736949,1.0,0.8472538,0.8300041,0.80561775,0.8243068,0.83474207,0.8351871
0.8324399,0.82498586,0.8067229,0.828496,0.8656544,0.8472538,1.0,0.8856182,0.81739384,0.8236714,0.8725015,0.8389923
0.838897,0.8085783,0.8077687,0.8415602,0.85936475,0.8300041,0.8856182,1.0,0.8522474,0.8488331,0.85993874,0.84310484
0.8633493,0.80336636,0.7966349,0.87403476,0.81163263,0.80561775,0.81739384,0.8522474,1.0,0.9480508,0.8471948,0.9040202
0.86566985,0.8082299,0.79909664,0.87622976,0.80945086,0.8243068,0.8236714,0.8488331,0.9480508,1.0,0.8542291,0.9096718
0.8574256,0.8413519,0.8201802,0.85188615,0.8510643,0.83474207,0.8725015,0.85993874,0.8471948,0.8542291,1.0,0.8773707
0.8768544,0.82564884,0.8126643,0.88763756,0.82254475,0.8351871,0.8389923,0.84310484,0.9040202,0.9096718,0.8773707,1.0
