Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.57916296,0.6309273,0.8746008,0.48352236,0.5475631,0.2864514,0.5225758,0.689083,0.7186556,0.5658567,0.6215985
0.57916296,1.0,0.63198733,0.5456821,0.45645416,0.47350383,0.25058836,0.43862802,0.39697635,0.34749556,0.30154324,0.2947412
0.6309273,0.63198733,1.0,0.5892134,0.33700937,0.29437068,0.2415578,0.27622843,0.40979648,0.35635185,0.3595518,0.3839941
0.8746008,0.5456821,0.5892134,1.0,0.48835647,0.5945072,0.23189068,0.40428954,0.680919,0.69831234,0.59386086,0.594291
0.48352236,0.45645416,0.33700937,0.48835647,1.0,0.59082854,0.4215027,0.504249,0.4111538,0.40823793,0.3511397,0.45823276
0.5475631,0.47350383,0.29437068,0.5945072,0.59082854,1.0,0.260379,0.5099094,0.47739846,0.527125,0.28951925,0.38370594
0.2864514,0.25058836,0.2415578,0.23189068,0.4215027,0.260379,1.0,0.5749737,0.22534457,0.28751907,0.16494924,0.3589505
0.5225758,0.43862802,0.27622843,0.40428954,0.504249,0.5099094,0.5749737,1.0,0.45900834,0.5172048,0.2955312,0.48770887
0.689083,0.39697635,0.40979648,0.680919,0.4111538,0.47739846,0.22534457,0.45900834,1.0,0.84366137,0.48951757,0.72688353
0.7186556,0.34749556,0.35635185,0.69831234,0.40823793,0.527125,0.28751907,0.5172048,0.84366137,1.0,0.38157347,0.7171302
0.5658567,0.30154324,0.3595518,0.59386086,0.3511397,0.28951925,0.16494924,0.2955312,0.48951757,0.38157347,1.0,0.482691
0.6215985,0.2947412,0.3839941,0.594291,0.45823276,0.38370594,0.3589505,0.48770887,0.72688353,0.7171302,0.482691,1.0
