Tendo a manipolare gli altri per ottenere ciò che voglio,Ho usato  l’inganno o la menzogna per ottenere ciò che volevo,Ho usato l’adulazione per ottenere ciò che volevo,Tendo a sfruttare gli altri per i miei scopi,Tendo a non provare rimorso,Tendo a non interessarmi della moralità delle mie azioni,Tendo ad essere freddo o insensibile.,Tendo ad essere cinico.,Tendo a volere che gli altri mi ammirino.,Tendo a volere che gli altri mi diano attenzione.,Tendo a cercare prestigio o potere.,Tendo ad aspettarmi favori speciali dagli altri.
1.0,0.73063266,0.72716093,0.87327194,0.42483306,0.46299273,0.2797355,0.40411618,0.4769683,0.6501887,0.6194309,0.66421676
0.73063266,1.0,0.76187146,0.6535499,0.48361725,0.43952948,0.16889435,0.33218372,0.3269756,0.4121273,0.46635938,0.43423194
0.72716093,0.76187146,1.0,0.62591726,0.45520067,0.3440807,0.22597125,0.29796052,0.4669733,0.49262697,0.5228582,0.5387385
0.87327194,0.6535499,0.62591726,1.0,0.4674092,0.555809,0.26260814,0.43844777,0.4898772,0.6421991,0.5770352,0.62123084
0.42483306,0.48361725,0.45520067,0.4674092,1.0,0.6704782,0.28525925,0.44391888,0.4505157,0.44098452,0.3422245,0.44195226
0.46299273,0.43952948,0.3440807,0.555809,0.6704782,1.0,0.22956833,0.42004672,0.3369507,0.4687153,0.37018827,0.40458837
0.2797355,0.16889435,0.22597125,0.26260814,0.28525925,0.22956833,1.0,0.49018884,0.31184602,0.4385847,0.19544223,0.42121375
0.40411618,0.33218372,0.29796052,0.43844777,0.44391888,0.42004672,0.49018884,1.0,0.44242442,0.5199023,0.32859024,0.53844273
0.4769683,0.3269756,0.4669733,0.4898772,0.4505157,0.3369507,0.31184602,0.44242442,1.0,0.742474,0.5164145,0.70393145
0.6501887,0.4121273,0.49262697,0.6421991,0.44098452,0.4687153,0.4385847,0.5199023,0.742474,1.0,0.5392908,0.76516104
0.6194309,0.46635938,0.5228582,0.5770352,0.3422245,0.37018827,0.19544223,0.32859024,0.5164145,0.5392908,1.0,0.5989773
0.66421676,0.43423194,0.5387385,0.62123084,0.44195226,0.40458837,0.42121375,0.53844273,0.70393145,0.76516104,0.5989773,1.0
