,Mach_distilrobertaNarc_distilroberta,Psyc_distilroberta,ML3_item_distilroberta,Mach_miniLM,Psyc_miniLM,Narc_miniLM,Mach_mpnet,Psyc_mpnet,Narc_mpnet,Mach_WulffNarc_Wulff,Psyc_Wulff,ML3_item_Wulff,Mach_e5,Psyc_e5,Narc_e5,Mach_avg_transfNarc_avg_transf,Psyc_avg_transf,ML3_item_avg_transf
Tendo.a.manipolare.gli.altri.per.ottenere.ciò.che.voglio,0.636,0.15,0.513,0.691,0.012,0.294,1.024,-0.253,0.181,0.794,0.12,0.322,0.831,-0.051,0.193,0.847,0.035,0.402
Ho.usato..l.inganno.o.la.menzogna.per.ottenere.ciò.che.volevo,0.669,-0.009,0.688,0.651,0.321,-0.282,0.857,0.086,-0.194,0.697,-0.128,0.703,0.963,0.106,-0.131,0.854,-0.179,0.629
Ho.usato.l.adulazione.per.ottenere.ciò.che.volevo,0.664,-0.059,0.798,0.793,0.009,-0.143,0.705,0.033,0.051,0.73,-0.086,0.635,0.999,0.072,-0.143,0.927,-0.217,0.555
Tendo.a.sfruttare.gli.altri.per.i.miei.scopi,0.677,0.241,0.228,0.792,-0.171,0.336,0.81,-0.058,0.178,0.36,0.533,0.23,0.676,-0.03,0.325,0.65,0.217,0.348
Tendo.a.non.provare.rimorso,-0.033,0.725,0.206,0.213,0.569,-0.083,-0.099,1.087,-0.189,-0.006,0.709,0.45,0.014,0.846,0.071,-0.042,0.717,0.515
Tendo.a.non.interessarmi.della.moralità.delle.mie.azioni,0.308,0.339,0.316,0.259,0.37,0.116,0.11,0.706,-0.088,0.407,0.357,0.32,0.467,0.466,0.008,0.248,0.458,0.418
Tendo.ad.essere.freddo.o.insensibile.,-0.247,0.972,0.204,-0.192,0.879,-0.174,-0.189,0.249,0.433,-0.174,0.697,0.316,-0.213,1.054,0.1,-0.334,0.936,0.444
Tendo.ad.essere.cinico.,-0.238,0.891,0.244,-0.202,0.994,-0.004,-0.126,0.411,0.396,-0.045,0.828,0.457,-0.183,0.801,0.327,-0.245,0.964,0.476
Tendo.a.volere.che.gli.altri.mi.ammirino.,0.777,0.165,0.298,-0.007,-0.037,0.925,-0.271,0.32,0.783,0.732,0.186,0.201,0.01,-0.09,1.044,0.585,0.362,0.101
Tendo.a.volere.che.gli.altri.mi.diano.attenzione.,0.792,0.119,0.381,-0.119,0.037,0.999,-0.015,0.16,0.802,0.701,0.219,0.319,0.022,-0.08,1.025,0.58,0.4,0.129
Tendo.a.cercare.prestigio.o.potere.,0.187,0.566,0.415,0.529,-0.079,0.173,0.378,-0.018,0.384,-0.076,0.657,0.383,0.062,0.595,0.294,0.283,0.438,0.386
Tendo.ad.aspettarmi.favori.speciali.dagli.altri.,0.473,0.34,0.337,-0.049,0.173,0.692,0.061,0.125,0.749,0.503,0.434,0.169,0.166,0.11,0.688,0.398,0.507,0.208
