I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.6289409,0.6978771,0.84772253,0.38586873,0.36314562,0.4474617,0.4386816,0.6784804,0.69700277,0.42539394,0.58666724
0.6289409,1.0,0.77028173,0.5346379,0.33212012,0.23459828,0.5402591,0.3422338,0.34237117,0.34645426,0.5276542,0.2929016
0.6978771,0.77028173,1.0,0.5789018,0.47769433,0.28364038,0.40613505,0.44003195,0.41659454,0.39468133,0.47123528,0.3398793
0.84772253,0.5346379,0.5789018,1.0,0.3731562,0.32238576,0.42147025,0.436603,0.67594343,0.68988144,0.4363973,0.6546924
0.38586873,0.33212012,0.47769433,0.3731562,1.0,0.4083295,0.6065992,0.6731991,0.4657299,0.44519877,0.46331525,0.38355896
0.36314562,0.23459828,0.28364038,0.32238576,0.4083295,1.0,0.44350803,0.41715217,0.30947575,0.34513184,0.39565653,0.294313
0.4474617,0.5402591,0.40613505,0.42147025,0.6065992,0.44350803,1.0,0.6988797,0.47688746,0.48283902,0.6614921,0.40576798
0.4386816,0.3422338,0.44003195,0.436603,0.6731991,0.41715217,0.6988797,1.0,0.46267575,0.4392817,0.45828462,0.37200558
0.6784804,0.34237117,0.41659454,0.67594343,0.4657299,0.30947575,0.47688746,0.46267575,1.0,0.89972657,0.52291495,0.71077687
0.69700277,0.34645426,0.39468133,0.68988144,0.44519877,0.34513184,0.48283902,0.4392817,0.89972657,1.0,0.47930712,0.69819653
0.42539394,0.5276542,0.47123528,0.4363973,0.46331525,0.39565653,0.6614921,0.45828462,0.52291495,0.47930712,1.0,0.49474487
0.58666724,0.2929016,0.3398793,0.6546924,0.38355896,0.294313,0.40576798,0.37200558,0.71077687,0.69819653,0.49474487,1.0
