I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.57733417,0.57451886,0.8342751,0.3502094,0.5191835,0.54038537,0.50202906,0.5343138,0.6900129,0.51724267,0.46171516
0.57733417,1.0,0.6302841,0.5198673,0.45503318,0.4027453,0.38504425,0.30509484,0.16026625,0.26711583,0.3484552,0.15288505
0.57451886,0.6302841,1.0,0.517931,0.45423585,0.38462287,0.5170888,0.41281033,0.40772188,0.48689654,0.49557012,0.32747215
0.8342751,0.5198673,0.517931,1.0,0.33778137,0.45634633,0.42489147,0.4409453,0.54861987,0.6241116,0.58706963,0.5034199
0.3502094,0.45503318,0.45423585,0.33778137,1.0,0.4753437,0.47079575,0.3899961,0.39466482,0.35227615,0.3776549,0.30929133
0.5191835,0.4027453,0.38462287,0.45634633,0.4753437,1.0,0.593063,0.55295026,0.39392185,0.4920615,0.29673347,0.33114552
0.54038537,0.38504425,0.5170888,0.42489147,0.47079575,0.593063,1.0,0.61497533,0.48224348,0.56587917,0.44896626,0.42547125
0.50202906,0.30509484,0.41281033,0.4409453,0.3899961,0.55295026,0.61497533,1.0,0.5243054,0.50001866,0.49191517,0.48224682
0.5343138,0.16026625,0.40772188,0.54861987,0.39466482,0.39392185,0.48224348,0.5243054,1.0,0.7721261,0.6760192,0.7101166
0.6900129,0.26711583,0.48689654,0.6241116,0.35227615,0.4920615,0.56587917,0.50001866,0.7721261,1.0,0.54793,0.6172304
0.51724267,0.3484552,0.49557012,0.58706963,0.3776549,0.29673347,0.44896626,0.49191517,0.6760192,0.54793,1.0,0.63923347
0.46171516,0.15288505,0.32747215,0.5034199,0.30929133,0.33114552,0.42547125,0.48224682,0.7101166,0.6172304,0.63923347,1.0
