I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.6760654,0.62421954,0.8643789,0.4702591,0.46096048,0.5527006,0.46874604,0.5418129,0.64580023,0.59405106,0.58025783
0.6760654,1.0,0.5784603,0.62449527,0.40504587,0.34917673,0.34346184,0.34095383,0.2943093,0.35692978,0.3773327,0.39486372
0.62421954,0.5784603,1.0,0.51442224,0.38232115,0.28390136,0.45919102,0.38216126,0.6039293,0.5416933,0.6022389,0.58954096
0.8643789,0.62449527,0.51442224,1.0,0.50746596,0.5130769,0.57120585,0.5206055,0.54626894,0.62524843,0.6122292,0.56730306
0.4702591,0.40504587,0.38232115,0.50746596,1.0,0.7558588,0.63223636,0.5843629,0.5219589,0.5012433,0.4764279,0.5155271
0.46096048,0.34917673,0.28390136,0.5130769,0.7558588,1.0,0.6036493,0.5423227,0.4227829,0.4771837,0.43895435,0.44164437
0.5527006,0.34346184,0.45919102,0.57120585,0.63223636,0.6036493,1.0,0.6678536,0.5383841,0.6379734,0.5181435,0.5629874
0.46874604,0.34095383,0.38216126,0.5206055,0.5843629,0.5423227,0.6678536,1.0,0.520278,0.52587414,0.45064616,0.485171
0.5418129,0.2943093,0.6039293,0.54626894,0.5219589,0.4227829,0.5383841,0.520278,1.0,0.7865742,0.6886593,0.6571065
0.64580023,0.35692978,0.5416933,0.62524843,0.5012433,0.4771837,0.6379734,0.52587414,0.7865742,1.0,0.61467063,0.66275114
0.59405106,0.3773327,0.6022389,0.6122292,0.4764279,0.43895435,0.5181435,0.45064616,0.6886593,0.61467063,1.0,0.5987132
0.58025783,0.39486372,0.58954096,0.56730306,0.5155271,0.44164437,0.5629874,0.485171,0.6571065,0.66275114,0.5987132,1.0
