I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.6107805,0.577067,0.75016713,0.44273967,0.4733543,0.6024881,0.45562094,0.45480192,0.55069286,0.45182532,0.53610426
0.6107805,1.0,0.5584054,0.47490042,0.46659976,0.35688043,0.37251574,0.24549666,0.2031546,0.18839265,0.26749122,0.27869123
0.577067,0.5584054,1.0,0.5313688,0.3350612,0.19169717,0.43299145,0.2883138,0.52656734,0.46406138,0.438939,0.4628002
0.75016713,0.47490042,0.5313688,1.0,0.41541326,0.4111257,0.5882514,0.46040165,0.47798896,0.5472636,0.47116268,0.5830673
0.44273967,0.46659976,0.3350612,0.41541326,1.0,0.58513415,0.565612,0.39846322,0.38903478,0.34040523,0.32456228,0.3637469
0.4733543,0.35688043,0.19169717,0.4111257,0.58513415,1.0,0.56337607,0.37815738,0.32731795,0.37257582,0.33586526,0.36655772
0.6024881,0.37251574,0.43299145,0.5882514,0.565612,0.56337607,1.0,0.48291528,0.4180305,0.5250293,0.37565595,0.52028567
0.45562094,0.24549666,0.2883138,0.46040165,0.39846322,0.37815738,0.48291528,1.0,0.35717684,0.3255885,0.33933145,0.47644797
0.45480192,0.2031546,0.52656734,0.47798896,0.38903478,0.32731795,0.4180305,0.35717684,1.0,0.7218194,0.6212146,0.50646174
0.55069286,0.18839265,0.46406138,0.5472636,0.34040523,0.37257582,0.5250293,0.3255885,0.7218194,1.0,0.56941533,0.51061624
0.45182532,0.26749122,0.438939,0.47116268,0.32456228,0.33586526,0.37565595,0.33933145,0.6212146,0.56941533,1.0,0.46303067
0.53610426,0.27869123,0.4628002,0.5830673,0.3637469,0.36655772,0.52028567,0.47644797,0.50646174,0.51061624,0.46303067,1.0
