I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.36854148,0.33779722,0.55689645,0.1404871,0.10206039,0.1708506,0.1526891,0.22075053,0.19141231,0.31498268,0.24502777
0.36854148,1.0,0.39991736,0.28879875,0.16988775,0.16414605,0.21548021,0.11598625,0.016114108,0.06948462,0.19919506,0.07803727
0.33779722,0.39991736,1.0,0.34300596,0.11309373,0.02574915,0.12861152,0.020395964,0.22133063,0.21993911,0.35364383,0.13403878
0.55689645,0.28879875,0.34300596,1.0,0.15488666,0.09673391,0.25558323,0.15191405,0.24948518,0.2110099,0.32456782,0.27410448
0.1404871,0.16988775,0.11309373,0.15488666,1.0,0.24661401,0.2382431,0.2758047,0.2355664,0.1361345,0.16927624,0.16153881
0.10206039,0.16414605,0.02574915,0.09673391,0.24661401,1.0,0.26592165,0.1277008,0.047743183,0.030383348,0.09860764,0.054023094
0.1708506,0.21548021,0.12861152,0.25558323,0.2382431,0.26592165,1.0,0.24197304,0.0786704,0.1149489,0.16036437,0.17840439
0.1526891,0.11598625,0.020395964,0.15191405,0.2758047,0.1277008,0.24197304,1.0,0.18015876,0.11116692,0.10572477,0.23781481
0.22075053,0.016114108,0.22133063,0.24948518,0.2355664,0.047743183,0.0786704,0.18015876,1.0,0.58416724,0.36455077,0.37082925
0.19141231,0.06948462,0.21993911,0.2110099,0.1361345,0.030383348,0.1149489,0.11116692,0.58416724,1.0,0.23891923,0.22290097
0.31498268,0.19919506,0.35364383,0.32456782,0.16927624,0.09860764,0.16036437,0.10572477,0.36455077,0.23891923,1.0,0.23908211
0.24502777,0.07803727,0.13403878,0.27410448,0.16153881,0.054023094,0.17840439,0.23781481,0.37082925,0.22290097,0.23908211,1.0
