I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.6865777,0.63903916,0.8265888,0.36327252,0.46987402,0.51177984,0.4667993,0.55587673,0.5691088,0.5376619,0.5770099
0.6865777,1.0,0.640236,0.6526288,0.4027295,0.39570898,0.39406535,0.4250505,0.30598512,0.27822244,0.42239702,0.29444715
0.63903916,0.640236,1.0,0.57475424,0.26417246,0.33874345,0.409351,0.4316463,0.45392823,0.39826453,0.4649503,0.3837083
0.8265888,0.6526288,0.57475424,1.0,0.41962433,0.44196028,0.56467885,0.5392468,0.5254987,0.52068377,0.52386564,0.58865327
0.36327252,0.4027295,0.26417246,0.41962433,1.0,0.6759839,0.6060713,0.5130701,0.33632568,0.34530345,0.36785454,0.27667594
0.46987402,0.39570898,0.33874345,0.44196028,0.6759839,1.0,0.5531578,0.5375142,0.37171438,0.38015518,0.44992048,0.30925685
0.51177984,0.39406535,0.409351,0.56467885,0.6060713,0.5531578,1.0,0.70641947,0.43010053,0.5143683,0.4066143,0.4275804
0.4667993,0.4250505,0.4316463,0.5392468,0.5130701,0.5375142,0.70641947,1.0,0.44872105,0.45377555,0.41430646,0.40340808
0.55587673,0.30598512,0.45392823,0.5254987,0.33632568,0.37171438,0.43010053,0.44872105,1.0,0.8031637,0.6583361,0.72656465
0.5691088,0.27822244,0.39826453,0.52068377,0.34530345,0.38015518,0.5143683,0.45377555,0.8031637,1.0,0.5541849,0.6631143
0.5376619,0.42239702,0.4649503,0.52386564,0.36785454,0.44992048,0.4066143,0.41430646,0.6583361,0.5541849,1.0,0.63304806
0.5770099,0.29444715,0.3837083,0.58865327,0.27667594,0.30925685,0.4275804,0.40340808,0.72656465,0.6631143,0.63304806,1.0
