I tend to manipulate others to get my way,I have used deceit or lied to get my way,I have use flattery to get my way,I tend to exploit others towards my own end,I tend to lack remorse,I tend to be unconcerned with the morality of my actions.,I tend to be callous or insensitive,I tend to be cynical,I tend to want others to admire me,I tend to want others to pay attention to me,I tend to seek prestige or status,I tend to expect special favors from others
1.0,0.894766,0.89054507,0.9113027,0.87141335,0.8456795,0.87138987,0.8650124,0.8973239,0.8951019,0.86194193,0.8837828
0.894766,1.0,0.9047694,0.83253086,0.8420557,0.82900107,0.8633416,0.8237101,0.80915177,0.8130835,0.85985357,0.81701034
0.89054507,0.9047694,1.0,0.83365613,0.832742,0.8238637,0.8382338,0.82369626,0.83751273,0.8352883,0.853526,0.8359587
0.9113027,0.83253086,0.83365613,1.0,0.8719205,0.84374166,0.8507414,0.8576851,0.8888749,0.8826031,0.85952497,0.88609016
0.87141335,0.8420557,0.832742,0.8719205,1.0,0.8654251,0.89532083,0.88752073,0.870615,0.8551577,0.84761405,0.8409171
0.8456795,0.82900107,0.8238637,0.84374166,0.8654251,1.0,0.8496623,0.84984124,0.8318879,0.8293321,0.8325406,0.83464265
0.87138987,0.8633416,0.8382338,0.8507414,0.89532083,0.8496623,1.0,0.8996862,0.8609671,0.8629705,0.8898523,0.85776556
0.8650124,0.8237101,0.82369626,0.8576851,0.88752073,0.84984124,0.8996862,1.0,0.87849486,0.8691423,0.87033844,0.8677652
0.8973239,0.80915177,0.83751273,0.8888749,0.870615,0.8318879,0.8609671,0.87849486,1.0,0.9488092,0.8747054,0.90704083
0.8951019,0.8130835,0.8352883,0.8826031,0.8551577,0.8293321,0.8629705,0.8691423,0.9488092,1.0,0.86205745,0.8994014
0.86194193,0.85985357,0.853526,0.85952497,0.84761405,0.8325406,0.8898523,0.87033844,0.8747054,0.86205745,1.0,0.8763689
0.8837828,0.81701034,0.8359587,0.88609016,0.8409171,0.83464265,0.85776556,0.8677652,0.90704083,0.8994014,0.8763689,1.0
