Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.84061813,0.8319087,0.84573305,0.8453116,0.8341513,0.8234965,0.8331108,0.827296,0.8566436,0.8369522,0.8032491,0.81735015,0.837338,0.8470306,0.8371339
0.84061813,1.0,0.82966006,0.8619703,0.85648394,0.8213064,0.824388,0.8205252,0.8529156,0.83499587,0.833035,0.83501005,0.82976604,0.8193308,0.8462179,0.86278766
0.8319087,0.82966006,1.0,0.83289695,0.83516705,0.8006376,0.7958235,0.816088,0.8304062,0.8172673,0.8110852,0.78402287,0.8062886,0.84154004,0.8343442,0.8685092
0.84573305,0.8619703,0.83289695,1.0,0.93947685,0.89299905,0.8191763,0.8376286,0.8667332,0.85510534,0.85656697,0.84698254,0.8256506,0.8305143,0.8593572,0.8577355
0.8453116,0.85648394,0.83516705,0.93947685,1.0,0.89414823,0.7998858,0.83515257,0.84845847,0.8614247,0.84778506,0.8285557,0.8157872,0.8393227,0.83538836,0.8633426
0.8341513,0.8213064,0.8006376,0.89299905,0.89414823,1.0,0.7889155,0.8109692,0.8266543,0.8471005,0.8174058,0.797987,0.792468,0.8169737,0.81005406,0.81873417
0.8234965,0.824388,0.7958235,0.8191763,0.7998858,0.7889155,1.0,0.8302126,0.8586501,0.81962705,0.81149566,0.79665196,0.8033366,0.82024014,0.8511193,0.8408557
0.8331108,0.8205252,0.816088,0.8376286,0.83515257,0.8109692,0.8302126,1.0,0.852652,0.8105373,0.87403464,0.8099353,0.8634752,0.8354872,0.83773226,0.8294774
0.827296,0.8529156,0.8304062,0.8667332,0.84845847,0.8266543,0.8586501,0.852652,1.0,0.8511932,0.8464312,0.8254608,0.82462543,0.8366473,0.8631374,0.8790173
0.8566436,0.83499587,0.8172673,0.85510534,0.8614247,0.8471005,0.81962705,0.8105373,0.8511932,1.0,0.8820699,0.8180542,0.8136146,0.8422806,0.8378936,0.8593149
0.8369522,0.833035,0.8110852,0.85656697,0.84778506,0.8174058,0.81149566,0.87403464,0.8464312,0.8820699,1.0,0.8577529,0.88202024,0.8283186,0.83172035,0.8443902
0.8032491,0.83501005,0.78402287,0.84698254,0.8285557,0.797987,0.79665196,0.8099353,0.8254608,0.8180542,0.8577529,1.0,0.89881086,0.81404495,0.8625075,0.83195674
0.81735015,0.82976604,0.8062886,0.8256506,0.8157872,0.792468,0.8033366,0.8634752,0.82462543,0.8136146,0.88202024,0.89881086,1.0,0.81293774,0.84610593,0.8236683
0.837338,0.8193308,0.84154004,0.8305143,0.8393227,0.8169737,0.82024014,0.8354872,0.8366473,0.8422806,0.8283186,0.81404495,0.81293774,1.0,0.84623754,0.84821904
0.8470306,0.8462179,0.8343442,0.8593572,0.83538836,0.81005406,0.8511193,0.83773226,0.8631374,0.8378936,0.83172035,0.8625075,0.84610593,0.84623754,1.0,0.8765477
0.8371339,0.86278766,0.8685092,0.8577355,0.8633426,0.81873417,0.8408557,0.8294774,0.8790173,0.8593149,0.8443902,0.83195674,0.8236683,0.84821904,0.8765477,1.0
