Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.46891037,0.44602275,0.5416102,0.54202163,0.6407465,0.4219467,0.5895664,0.7517828,0.5358719,0.50873244,0.33962354,0.3032219,0.49338466,0.38523588,0.48654914
0.46891037,1.0,0.32852253,0.2717437,0.24428359,0.3065408,0.2103754,0.18509248,0.41923827,0.41360646,0.43341964,0.26612794,0.19032374,0.22799504,0.16328575,0.6070072
0.44602275,0.32852253,1.0,0.25421202,0.27138078,0.32316926,0.13491169,0.14904882,0.30782956,0.39737582,0.31369865,0.090819426,0.14415553,0.23573682,0.22338054,0.27844653
0.5416102,0.2717437,0.25421202,1.0,0.7999743,0.90001655,0.30774832,0.42906985,0.49504775,0.45462948,0.47583836,0.32470134,0.31054413,0.37123698,0.22418094,0.3581462
0.54202163,0.24428359,0.27138078,0.7999743,1.0,0.8329741,0.26908824,0.39036083,0.551985,0.480153,0.50234896,0.36717972,0.28457308,0.5067542,0.23324695,0.36914596
0.6407465,0.3065408,0.32316926,0.90001655,0.8329741,1.0,0.35854265,0.44902852,0.54681706,0.48355645,0.48813677,0.29406264,0.29834443,0.3805767,0.2522077,0.40813467
0.4219467,0.2103754,0.13491169,0.30774832,0.26908824,0.35854265,1.0,0.29380217,0.3921052,0.1515839,0.21414334,0.06362769,0.10995351,0.22030203,0.1486183,0.34432173
0.5895664,0.18509248,0.14904882,0.42906985,0.39036083,0.44902852,0.29380217,1.0,0.44932437,0.34979838,0.4364422,0.20730522,0.2555543,0.2500183,0.22036655,0.2701788
0.7517828,0.41923827,0.30782956,0.49504775,0.551985,0.54681706,0.3921052,0.44932437,1.0,0.51498353,0.5329382,0.33402938,0.32263023,0.5587773,0.25107032,0.5386745
0.5358719,0.41360646,0.39737582,0.45462948,0.480153,0.48355645,0.1515839,0.34979838,0.51498353,1.0,0.828398,0.39765579,0.37488776,0.43407848,0.19947551,0.3337168
0.50873244,0.43341964,0.31369865,0.47583836,0.50234896,0.48813677,0.21414334,0.4364422,0.5329382,0.828398,1.0,0.46622306,0.41769224,0.3984764,0.2367755,0.31855822
0.33962354,0.26612794,0.090819426,0.32470134,0.36717972,0.29406264,0.06362769,0.20730522,0.33402938,0.39765579,0.46622306,1.0,0.58919346,0.33486068,0.1863852,0.10991996
0.3032219,0.19032374,0.14415553,0.31054413,0.28457308,0.29834443,0.10995351,0.2555543,0.32263023,0.37488776,0.41769224,0.58919346,1.0,0.28420517,0.16740358,0.115155205
0.49338466,0.22799504,0.23573682,0.37123698,0.5067542,0.3805767,0.22030203,0.2500183,0.5587773,0.43407848,0.3984764,0.33486068,0.28420517,1.0,0.28894934,0.31649026
0.38523588,0.16328575,0.22338054,0.22418094,0.23324695,0.2522077,0.1486183,0.22036655,0.25107032,0.19947551,0.2367755,0.1863852,0.16740358,0.28894934,1.0,0.17691171
0.48654914,0.6070072,0.27844653,0.3581462,0.36914596,0.40813467,0.34432173,0.2701788,0.5386745,0.3337168,0.31855822,0.10991996,0.115155205,0.31649026,0.17691171,1.0
