Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.7772202,0.81744754,0.23814434,0.18956468,0.40905243,0.38295215,0.43566278,0.33258182,0.9139235,0.7473583,-0.09349513,-0.021528773,-0.09390676,0.31962907,0.4831084
0.7772202,1.0,0.66418755,0.1795388,0.12729968,0.30270317,0.3051892,0.27415615,0.27534434,0.7565113,0.6443036,-0.037782542,0.0041229576,-0.060294807,0.2631449,0.6156155
0.81744754,0.66418755,1.0,0.114447534,0.088111736,0.2556458,0.23094252,0.25757346,0.2020232,0.79285204,0.6460665,-0.09949435,-0.02766249,-0.099412985,0.26095328,0.39467144
0.23814434,0.1795388,0.114447534,1.0,0.7195219,0.9135209,0.54313016,0.4322399,0.2711463,0.13358743,0.13823295,-0.09616853,-0.047347423,-0.06715146,0.2939927,0.3370041
0.18956468,0.12729968,0.088111736,0.7195219,1.0,0.76625776,0.3109882,0.52312875,0.49933356,0.11007276,0.33019805,0.34390086,0.39886194,0.3661065,0.25047946,0.20925388
0.40905243,0.30270317,0.2556458,0.9135209,0.76625776,1.0,0.5614044,0.45893922,0.29782233,0.28813747,0.25755617,-0.115365155,-0.04832184,-0.100114055,0.31537503,0.36312354
0.38295215,0.3051892,0.23094252,0.54313016,0.3109882,0.5614044,1.0,0.33563465,0.28547662,0.24565646,0.17661774,-0.088372104,-0.04731798,-0.05643437,0.27985692,0.44924867
0.43566278,0.27415615,0.25757346,0.4322399,0.52312875,0.45893922,0.33563465,1.0,0.52002025,0.3314172,0.5460186,0.2595604,0.33728653,0.27812204,0.27440935,0.25332266
0.33258182,0.27534434,0.2020232,0.2711463,0.49933356,0.29782233,0.28547662,0.52002025,1.0,0.20973624,0.42272627,0.44998518,0.48706105,0.46998674,0.27755758,0.3747884
0.9139235,0.7565113,0.79285204,0.13358743,0.11007276,0.28813747,0.24565646,0.3314172,0.20973624,1.0,0.8255223,-0.09039102,-0.02002098,-0.09147601,0.22250313,0.4024943
0.7473583,0.6443036,0.6460665,0.13823295,0.33019805,0.25755617,0.17661774,0.5460186,0.42272627,0.8255223,1.0,0.3154208,0.38671988,0.279321,0.23505163,0.30367684
-0.09349513,-0.037782542,-0.09949435,-0.09616853,0.34390086,-0.115365155,-0.088372104,0.2595604,0.44998518,-0.09039102,0.3154208,1.0,0.93442655,0.9022373,0.00084269885,-0.075817525
-0.021528773,0.0041229576,-0.02766249,-0.047347423,0.39886194,-0.04832184,-0.04731798,0.33728653,0.48706105,-0.02002098,0.38671988,0.93442655,1.0,0.8864745,0.043337762,-0.029803762
-0.09390676,-0.060294807,-0.099412985,-0.06715146,0.3661065,-0.100114055,-0.05643437,0.27812204,0.46998674,-0.09147601,0.279321,0.9022373,0.8864745,1.0,0.018809665,-0.043410577
0.31962907,0.2631449,0.26095328,0.2939927,0.25047946,0.31537503,0.27985692,0.27440935,0.27755758,0.22250313,0.23505163,0.00084269885,0.043337762,0.018809665,1.0,0.31051427
0.4831084,0.6156155,0.39467144,0.3370041,0.20925388,0.36312354,0.44924867,0.25332266,0.3747884,0.4024943,0.30367684,-0.075817525,-0.029803762,-0.043410577,0.31051427,1.0
