Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.518691,0.5755447,0.35846388,0.27331716,0.49746823,0.18598026,0.26736093,0.5101701,0.6557934,0.47543344,0.28561595,0.271687,0.34294406,0.42352912,0.48371243
0.518691,1.0,0.45732015,0.38160723,0.25444025,0.5079297,0.13200061,0.24105446,0.4217718,0.5446619,0.3352234,0.34637666,0.26524583,0.2238129,0.41001964,0.6688806
0.5755447,0.45732015,1.0,0.36260444,0.2903896,0.48065156,0.23974916,0.18550913,0.5710655,0.4929202,0.24084756,0.18549503,0.18160011,0.4082783,0.41992402,0.4735347
0.35846388,0.38160723,0.36260444,1.0,0.5059254,0.6106315,0.18830472,0.14381951,0.4087984,0.3707315,0.20823097,0.24779885,0.10923694,0.41582215,0.33652824,0.449712
0.27331716,0.25444025,0.2903896,0.5059254,1.0,0.47621953,0.13745639,0.2630002,0.3314197,0.30587885,0.19514778,0.21193829,0.07392407,0.43938008,0.22196347,0.35641026
0.49746823,0.5079297,0.48065156,0.6106315,0.47621953,1.0,0.16949657,0.29454958,0.595221,0.52236223,0.32027334,0.39647815,0.2003653,0.5231551,0.46430376,0.553121
0.18598026,0.13200061,0.23974916,0.18830472,0.13745639,0.16949657,1.0,0.076928385,0.29109934,0.16823065,0.09250705,-0.0009665061,-0.0028434182,0.16130626,0.16759726,0.2157148
0.26736093,0.24105446,0.18550913,0.14381951,0.2630002,0.29454958,0.076928385,1.0,0.32000414,0.26586026,0.52780616,0.25425982,0.5136795,0.12032742,0.2204618,0.2504594
0.5101701,0.4217718,0.5710655,0.4087984,0.3314197,0.595221,0.29109934,0.32000414,1.0,0.5499594,0.41663936,0.23028097,0.18768199,0.47132874,0.37178975,0.5319425
0.6557934,0.5446619,0.4929202,0.3707315,0.30587885,0.52236223,0.16823065,0.26586026,0.5499594,1.0,0.6410228,0.37281722,0.3130579,0.43001828,0.3629901,0.63831437
0.47543344,0.3352234,0.24084756,0.20823097,0.19514778,0.32027334,0.09250705,0.52780616,0.41663936,0.6410228,1.0,0.44055444,0.5823791,0.2338706,0.29902998,0.38045633
0.28561595,0.34637666,0.18549503,0.24779885,0.21193829,0.39647815,-0.0009665061,0.25425982,0.23028097,0.37281722,0.44055444,1.0,0.56373507,0.30086133,0.30692664,0.29822612
0.271687,0.26524583,0.18160011,0.10923694,0.07392407,0.2003653,-0.0028434182,0.5136795,0.18768199,0.3130579,0.5823791,0.56373507,1.0,0.17972627,0.25399813,0.18206328
0.34294406,0.2238129,0.4082783,0.41582215,0.43938008,0.5231551,0.16130626,0.12032742,0.47132874,0.43001828,0.2338706,0.30086133,0.17972627,1.0,0.2686058,0.36491314
0.42352912,0.41001964,0.41992402,0.33652824,0.22196347,0.46430376,0.16759726,0.2204618,0.37178975,0.3629901,0.29902998,0.30692664,0.25399813,0.2686058,1.0,0.3803606
0.48371243,0.6688806,0.4735347,0.449712,0.35641026,0.553121,0.2157148,0.2504594,0.5319425,0.63831437,0.38045633,0.29822612,0.18206328,0.36491314,0.3803606,1.0
