Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.37899572,0.43390158,0.33431613,0.27969944,0.43572226,0.19886172,0.28558737,0.15904883,0.45925206,0.31350332,0.20368972,0.2795421,0.17394748,0.44612613,0.29667503
0.37899572,1.0,0.32055157,0.41523692,0.29148772,0.2681453,0.24362983,0.2559429,0.3069684,0.43836707,0.3704247,0.48370665,0.4056605,0.24956831,0.32072067,0.462959
0.43390158,0.32055157,1.0,0.2833879,0.29219693,0.2076019,0.23405641,0.25436288,0.301956,0.33078486,0.2411505,0.16714287,0.26083395,0.33736598,0.33843946,0.39463723
0.33431613,0.41523692,0.2833879,1.0,0.69831,0.5701566,0.24108589,0.3331795,0.3157674,0.41491994,0.39146793,0.33795822,0.32970077,0.28060442,0.26553938,0.29687345
0.27969944,0.29148772,0.29219693,0.69831,1.0,0.508399,0.11984212,0.29464597,0.27352268,0.4093124,0.33796006,0.29152632,0.22948131,0.28174403,0.2141116,0.26457396
0.43572226,0.2681453,0.2076019,0.5701566,0.508399,1.0,0.0737859,0.3679195,0.12789169,0.36029756,0.26445204,0.18434486,0.22859532,0.24718791,0.2370905,0.21847674
0.19886172,0.24362983,0.23405641,0.24108589,0.11984212,0.0737859,1.0,0.33106837,0.44253144,0.36638027,0.3514679,0.3203932,0.3476414,0.2019202,0.36329955,0.33006456
0.28558737,0.2559429,0.25436288,0.3331795,0.29464597,0.3679195,0.33106837,1.0,0.3817891,0.42286682,0.52218467,0.4039075,0.5888564,0.3083433,0.37433407,0.41936636
0.15904883,0.3069684,0.301956,0.3157674,0.27352268,0.12789169,0.44253144,0.3817891,1.0,0.4568448,0.37808728,0.2139141,0.19828269,0.35339004,0.37427536,0.5659171
0.45925206,0.43836707,0.33078486,0.41491994,0.4093124,0.36029756,0.36638027,0.42286682,0.4568448,1.0,0.7088646,0.41518584,0.42848396,0.3294271,0.37455335,0.49596813
0.31350332,0.3704247,0.2411505,0.39146793,0.33796006,0.26445204,0.3514679,0.52218467,0.37808728,0.7088646,1.0,0.6244759,0.65617824,0.21921183,0.31284323,0.352992
0.20368972,0.48370665,0.16714287,0.33795822,0.29152632,0.18434486,0.3203932,0.4039075,0.2139141,0.41518584,0.6244759,1.0,0.6602534,0.24734312,0.26654702,0.30851936
0.2795421,0.4056605,0.26083395,0.32970077,0.22948131,0.22859532,0.3476414,0.5888564,0.19828269,0.42848396,0.65617824,0.6602534,1.0,0.26582867,0.3407591,0.24221528
0.17394748,0.24956831,0.33736598,0.28060442,0.28174403,0.24718791,0.2019202,0.3083433,0.35339004,0.3294271,0.21921183,0.24734312,0.26582867,1.0,0.34814012,0.36676854
0.44612613,0.32072067,0.33843946,0.26553938,0.2141116,0.2370905,0.36329955,0.37433407,0.37427536,0.37455335,0.31284323,0.26654702,0.3407591,0.34814012,1.0,0.47260755
0.29667503,0.462959,0.39463723,0.29687345,0.26457396,0.21847674,0.33006456,0.41936636,0.5659171,0.49596813,0.352992,0.30851936,0.24221528,0.36676854,0.47260755,1.0
