Umore depresso,Sentimenti di colpa,Suicidio,Insonnia iniziale,Insonnia centrale,Insonnia ritardata,lavoro e attività,"rallentamento (ideomotorio, linguaggio, difficoltà a concentrarsi)",agitazione,ansia psichica,ansia somatica (concomitanti fisici dell'ansia),sintomi somatici gastrointestinali,"sintomi somatici genitali (perdita della libido, disturbi mestruali",ipocondria,perdita di peso,presa di coscienza
1.0,0.53206897,0.53106093,0.5191617,0.47765592,0.5742049,0.3523355,0.39725882,0.6371068,0.72464967,0.4966896,0.30193383,0.30191058,0.26529348,0.37507164,0.529684
0.53206897,1.0,0.41203204,0.3092674,0.17130893,0.353162,0.22500089,0.21504055,0.422333,0.5656326,0.31198978,0.19425812,0.25244272,0.12722784,0.3624562,0.65886784
0.53106093,0.41203204,1.0,0.36842507,0.26495937,0.38940635,0.1644415,0.22334908,0.36273056,0.4841077,0.35852307,0.076534934,0.15917076,0.15424876,0.34351957,0.36532366
0.5191617,0.3092674,0.36842507,1.0,0.72760755,0.8384256,0.2511503,0.41969815,0.48428494,0.5024235,0.41609234,0.17159715,0.1715728,0.15531662,0.14554869,0.48244512
0.47765592,0.17130893,0.26495937,0.72760755,1.0,0.8176094,0.20148876,0.3919098,0.40865707,0.4894988,0.4731214,0.23472477,0.12152308,0.2315494,0.06492464,0.42227215
0.5742049,0.353162,0.38940635,0.8384256,0.8176094,1.0,0.23515409,0.488878,0.47010827,0.54986644,0.49987894,0.24387702,0.24905494,0.18907276,0.17849277,0.50636387
0.3523355,0.22500089,0.1644415,0.2511503,0.20148876,0.23515409,1.0,0.30085075,0.45242903,0.29135734,0.18050557,0.038745884,0.01346497,0.13209775,0.23455933,0.3663456
0.39725882,0.21504055,0.22334908,0.41969815,0.3919098,0.488878,0.30085075,1.0,0.32134905,0.4046573,0.38536936,0.06131003,0.14616053,0.15390392,0.21400367,0.33045733
0.6371068,0.422333,0.36273056,0.48428494,0.40865707,0.47010827,0.45242903,0.32134905,1.0,0.6270558,0.45250487,0.1556192,0.17178309,0.15101415,0.21400808,0.5381783
0.72464967,0.5656326,0.4841077,0.5024235,0.4894988,0.54986644,0.29135734,0.4046573,0.6270558,1.0,0.79324466,0.22184229,0.3402204,0.23814577,0.21914554,0.65924704
0.4966896,0.31198978,0.35852307,0.41609234,0.4731214,0.49987894,0.18050557,0.38536936,0.45250487,0.79324466,1.0,0.26612085,0.36392152,0.16234954,0.12892653,0.4159604
0.30193383,0.19425812,0.076534934,0.17159715,0.23472477,0.24387702,0.038745884,0.06131003,0.1556192,0.22184229,0.26612085,1.0,0.44876796,0.06130968,0.23543382,0.017839743
0.30191058,0.25244272,0.15917076,0.1715728,0.12152308,0.24905494,0.01346497,0.14616053,0.17178309,0.3402204,0.36392152,0.44876796,1.0,0.16656491,0.12015998,0.16340107
0.26529348,0.12722784,0.15424876,0.15531662,0.2315494,0.18907276,0.13209775,0.15390392,0.15101415,0.23814577,0.16234954,0.06130968,0.16656491,1.0,0.09605694,0.2027882
0.37507164,0.3624562,0.34351957,0.14554869,0.06492464,0.17849277,0.23455933,0.21400367,0.21400808,0.21914554,0.12892653,0.23543382,0.12015998,0.09605694,1.0,0.16368347
0.529684,0.65886784,0.36532366,0.48244512,0.42227215,0.50636387,0.3663456,0.33045733,0.5381783,0.65924704,0.4159604,0.017839743,0.16340107,0.2027882,0.16368347,1.0
