"sono ansioso, inquieto o angosciato","sono preoccupato, tormentato o infastitdito","sono scoraggiato, depresso, abbattuto",ho l'impressione di perdere il controllo,"mii sento solo, isolato, incompreso",mi sento il cuore che batte velocemente o irregolarment,"sono irritabile, ho i nervi a fior di pelle, perdo la pazienza con le persone e le cose",sono stressato,"sono inefficiente, inadeguato",sono calmo,"ho il respiro corto, a scatti, limitato, rapido","ho il viso (fronte, sopracciglia o labbra) contratto, corrugato, teso","ho i muscoli tesi o che tremano, ho crampi muscolari",ho l’impressione che ogni cosa mi comporti uno sforzo notevole,"controllo male le mie reazioni, l’umore, i gesti","sono confuso, non ho le idee chiare, manco di attenzione e di concentrazione",sento “un gran peso sulle spalle”,mi sento la gola stretta o la bocca secca,"ho difficoltà a digerire, mal di stomaco, mi sento un nodo allo stomaco",ho improvvise variazioni della temperatura corporea,faccio lunghi sospiri o riprendo di colpo la respirazione,sono teso o contratto,"riesamino le stesse idee più volte, rimugino,","mi sento sopraffatto, sovrastato, sovraccaricato",ho le mascelle serrate,"sono brusco nei comportamenti, mi muovo rapidamente e a scatti",ho soprassalti per situazioni inattese o rumori improvvisi,sono aggressivo,ho i lineamenti tirati o le occhiaie,"ho dei dolori fisici: mal di schiena, mal di testa, male al collo, mal di pancia",sono affaticato,"sono maldestro, faccio gaffes, inciampo, perdo le cose",piango facilmente,evito i contatti sociali o non frequento più attività culturali,sono preoccupato di ciò che può succedere il giorno dopo,ho diarrea o crampi intestinali o stitichezza,sono rilassato*,Mi mangio le unghie o la pelle intorno alle dita,"Sto continuamente attento all’orario, guardo spesso il mio orologio o chiedo l’ora",impiego più di mezz’ora per addormentarmi,tendo a saltare i pasti o a dimenticare di mangiare,"mi sento pieno di energia, in forma",vedo la vita semplice e facile,"sono irrequieto, ho sempre bisogno di muovermi, non riesco a stare fermo",ho le mani sudate o sudo molto,"dimentico appuntamenti, oggetti o cose da fare",cammino velocemente,"mi sento pressato dal tempo, mi manca il tempo","mangio velocemente, finisco di pranzare in meno di 15 minuti"
1.0,0.73376846,0.69854,0.5956644,0.60712194,0.6301291,0.63731384,0.6879847,0.5878281,0.6266904,0.6355657,0.7124854,0.59260386,0.641816,0.5467237,0.6126503,0.56445277,0.5368747,0.6297476,0.5070906,0.57376695,0.7114499,0.65763944,0.6857132,0.40484577,0.5915742,0.62562656,0.5959238,0.58556694,0.5891003,0.7521007,0.73746157,0.4968319,0.535411,0.64838815,0.52961606,0.7025504,0.58936495,0.71261865,0.61543083,0.57562965,0.53464717,0.442495,0.66133976,0.5175219,0.61903083,0.596579,0.45328963,0.5019171
0.73376846,1.0,0.7190598,0.64334726,0.6270884,0.6496042,0.6945473,0.76480883,0.6428349,0.5210312,0.69411933,0.69640493,0.59507716,0.64500874,0.62407815,0.607167,0.50660044,0.49849615,0.64795166,0.5075842,0.5829953,0.68316966,0.6481952,0.708593,0.40970954,0.633114,0.7233421,0.63578963,0.599819,0.60935676,0.7388488,0.6944661,0.48595965,0.58128023,0.7033987,0.60829383,0.72040725,0.52988595,0.6553481,0.6222458,0.612187,0.5092648,0.4796028,0.65260327,0.514402,0.5900574,0.5793482,0.5535338,0.6069729
0.69854,0.7190598,1.0,0.7018572,0.58824307,0.71525836,0.6088979,0.66662693,0.6670177,0.5850108,0.77196866,0.8242423,0.6515649,0.67347234,0.59427327,0.5907066,0.5844016,0.6370225,0.70721096,0.6337891,0.6995843,0.76794755,0.7227345,0.7955151,0.47845176,0.692598,0.76944304,0.57418436,0.59838146,0.61282897,0.77237403,0.75705457,0.54746354,0.61290646,0.65533626,0.59122866,0.7397318,0.60623646,0.6601641,0.704051,0.69809216,0.60546374,0.4824121,0.6339803,0.607664,0.69593793,0.6637711,0.61585987,0.60589236
0.5956644,0.64334726,0.7018572,1.0,0.62605834,0.8028186,0.7526051,0.5456711,0.5529376,0.4594683,0.7784602,0.75701284,0.69348323,0.8633709,0.73350024,0.7465466,0.6206807,0.64019763,0.7423386,0.63658917,0.74412686,0.6674374,0.7860467,0.72462463,0.5134602,0.7440068,0.75940526,0.4803489,0.7030263,0.6855904,0.63713634,0.72735095,0.5857935,0.6099023,0.81033856,0.59212637,0.60630137,0.73803246,0.7480532,0.8123553,0.7176661,0.62747717,0.53827775,0.7374585,0.6319743,0.74131894,0.6529956,0.65722895,0.69701433
0.60712194,0.6270884,0.58824307,0.62605834,1.0,0.6980369,0.6045569,0.6296902,0.5417527,0.49710155,0.64373064,0.6400837,0.62187505,0.6660764,0.62326956,0.64058673,0.54866344,0.50763696,0.6606749,0.49265373,0.56047606,0.56859857,0.68211746,0.70116615,0.36647207,0.6949215,0.666573,0.53845274,0.6166297,0.60675395,0.6420016,0.63417935,0.4571421,0.58539826,0.6110698,0.4594741,0.5785372,0.6579417,0.57143176,0.62075377,0.5459301,0.55212694,0.4499755,0.680122,0.52802724,0.5854548,0.56848085,0.5905402,0.56905454
0.6301291,0.6496042,0.71525836,0.8028186,0.6980369,1.0,0.7223766,0.594416,0.56353104,0.5559149,0.7529762,0.80370915,0.7733058,0.8588766,0.74441755,0.7320802,0.6647535,0.74466175,0.81139797,0.688805,0.7391383,0.6966323,0.8047862,0.8167675,0.55912864,0.82109076,0.7740497,0.51380306,0.7497194,0.66211593,0.68319875,0.77081853,0.5881411,0.6198646,0.7976846,0.5630202,0.6272991,0.7472923,0.7497463,0.8015707,0.74787086,0.695627,0.5936949,0.79774714,0.65112466,0.7315787,0.7815299,0.7401309,0.70110404
0.63731384,0.6945473,0.6088979,0.7526051,0.6045569,0.7223766,1.0,0.60545754,0.5075015,0.47100985,0.68132156,0.71582806,0.66958326,0.76118743,0.62042344,0.66362756,0.56615174,0.61682177,0.6632004,0.6288219,0.75283265,0.55390465,0.6933621,0.65064013,0.47216922,0.688118,0.70016074,0.5488256,0.67968357,0.75745386,0.5455153,0.6985694,0.4886657,0.5559118,0.71457523,0.7197079,0.5754485,0.68480486,0.6362485,0.6763111,0.66950434,0.6435857,0.53584373,0.6640996,0.51485485,0.63293684,0.5677357,0.56455606,0.5797083
0.6879847,0.76480883,0.66662693,0.5456711,0.6296902,0.594416,0.60545754,1.0,0.66988736,0.6616918,0.66528845,0.6710025,0.5726565,0.57930815,0.5247408,0.54660296,0.5658653,0.48377085,0.5966886,0.46697778,0.5426247,0.6980454,0.6273376,0.7032784,0.33450165,0.6373452,0.6358019,0.6976905,0.5637978,0.51811486,0.80982196,0.64428866,0.44959965,0.49379873,0.6155727,0.48340344,0.78988504,0.5322325,0.5809833,0.5578569,0.5604415,0.53511834,0.41193628,0.62371504,0.4811101,0.5607771,0.6011972,0.52457887,0.57218325
0.5878281,0.6428349,0.6670177,0.5529376,0.5417527,0.56353104,0.5075015,0.66988736,1.0,0.5580999,0.62679625,0.5970061,0.443865,0.56695724,0.47898114,0.4567634,0.4948288,0.44761539,0.5834981,0.42667365,0.49620754,0.62667215,0.552397,0.640477,0.39807093,0.56068337,0.5982374,0.5696247,0.48070848,0.44868273,0.6909448,0.6129097,0.4896474,0.44179603,0.51469755,0.45411235,0.6914859,0.4846354,0.5615636,0.5250004,0.47145957,0.42554456,0.37792742,0.49535865,0.47574258,0.49638453,0.60048556,0.46711624,0.45858568
0.6266904,0.5210312,0.5850108,0.4594683,0.49710155,0.5559149,0.47100985,0.6616918,0.5580999,1.0,0.56747824,0.5859286,0.50878847,0.5063948,0.43298295,0.4625804,0.6168165,0.5783669,0.53920203,0.431373,0.44678375,0.66294324,0.51511556,0.57475513,0.4211222,0.5476448,0.43026313,0.66495013,0.46076953,0.40292206,0.6893122,0.6946523,0.5524515,0.35745752,0.51320016,0.34987336,0.72667205,0.4026967,0.5160133,0.46689212,0.3794866,0.4671029,0.4696099,0.552045,0.4607299,0.48065144,0.70480937,0.45650762,0.4301328
