"sono ansioso, inquieto o angosciato","sono preoccupato, tormentato o infastitdito","sono scoraggiato, depresso, abbattuto",ho l'impressione di perdere il controllo,"mii sento solo, isolato, incompreso",mi sento il cuore che batte velocemente o irregolarment,"sono irritabile, ho i nervi a fior di pelle, perdo la pazienza con le persone e le cose",sono stressato,"sono inefficiente, inadeguato",sono calmo,"ho il respiro corto, a scatti, limitato, rapido","ho il viso (fronte, sopracciglia o labbra) contratto, corrugato, teso","ho i muscoli tesi o che tremano, ho crampi muscolari",ho l’impressione che ogni cosa mi comporti uno sforzo notevole,"controllo male le mie reazioni, l’umore, i gesti","sono confuso, non ho le idee chiare, manco di attenzione e di concentrazione",sento “un gran peso sulle spalle”,mi sento la gola stretta o la bocca secca,"ho difficoltà a digerire, mal di stomaco, mi sento un nodo allo stomaco",ho improvvise variazioni della temperatura corporea,faccio lunghi sospiri o riprendo di colpo la respirazione,sono teso o contratto,"riesamino le stesse idee più volte, rimugino,","mi sento sopraffatto, sovrastato, sovraccaricato",ho le mascelle serrate,"sono brusco nei comportamenti, mi muovo rapidamente e a scatti",ho soprassalti per situazioni inattese o rumori improvvisi,sono aggressivo,ho i lineamenti tirati o le occhiaie,"ho dei dolori fisici: mal di schiena, mal di testa, male al collo, mal di pancia",sono affaticato,"sono maldestro, faccio gaffes, inciampo, perdo le cose",piango facilmente,evito i contatti sociali o non frequento più attività culturali,sono preoccupato di ciò che può succedere il giorno dopo,ho diarrea o crampi intestinali o stitichezza,sono rilassato*,Mi mangio le unghie o la pelle intorno alle dita,"Sto continuamente attento all’orario, guardo spesso il mio orologio o chiedo l’ora",impiego più di mezz’ora per addormentarmi,tendo a saltare i pasti o a dimenticare di mangiare,"mi sento pieno di energia, in forma",vedo la vita semplice e facile,"sono irrequieto, ho sempre bisogno di muovermi, non riesco a stare fermo",ho le mani sudate o sudo molto,"dimentico appuntamenti, oggetti o cose da fare",cammino velocemente,"mi sento pressato dal tempo, mi manca il tempo","mangio velocemente, finisco di pranzare in meno di 15 minuti"
1.0,0.9442396,0.9041536,0.86886823,0.88170743,0.8767498,0.87058985,0.89666855,0.8809937,0.8815392,0.8858659,0.8677809,0.88805723,0.85333186,0.87828255,0.8967623,0.8496104,0.87197745,0.87628424,0.8726268,0.8758184,0.8712155,0.7969363,0.8768966,0.81994605,0.8767134,0.87972367,0.87607145,0.87317026,0.8669307,0.89305073,0.8748538,0.8449122,0.859985,0.8846795,0.89278626,-0.87384915,0.864887,0.860867,0.85826313,0.858868,-0.8541583,-0.83204114,0.8770103,0.85496664,0.8649075,0.8358064,0.8758211,0.8405061
0.9442396,1.0,0.9099689,0.8762377,0.86467975,0.88273185,0.86735886,0.9024387,0.8856741,0.87391496,0.88895345,0.87362766,0.8780426,0.8588327,0.88003147,0.9006238,0.8525155,0.86354244,0.86493635,0.8752147,0.8755605,0.8750622,0.79516625,0.8839117,0.7996544,0.88447213,0.8886336,0.85600287,0.8684713,0.8568326,0.9094071,0.8732046,0.84348965,0.8564394,0.89936054,0.88832104,-0.8800397,0.8556236,0.8656179,0.8563616,0.85501814,-0.85644186,-0.8331866,0.8827329,0.85601234,0.86228615,0.8307047,0.8738575,0.8458047
0.9041536,0.9099689,1.0,0.8763317,0.88302517,0.8623444,0.86983323,0.87826586,0.8973821,0.8522583,0.8918433,0.8648871,0.85382795,0.84991765,0.8697695,0.88090503,0.8499484,0.85169613,0.86530006,0.8507178,0.8497982,0.8404783,0.81800157,0.9087608,0.81070757,0.88217103,0.8645376,0.8503913,0.8646561,0.85744655,0.8937773,0.88339734,0.850599,0.86696196,0.86486006,0.86854476,-0.8692944,0.8420718,0.83006424,0.86318624,0.85722345,-0.8575294,-0.83312714,0.86944574,0.8371271,0.8595383,0.822299,0.8849616,0.84722805
0.86886823,0.8762377,0.8763317,1.0,0.84804034,0.8741126,0.8706715,0.867112,0.85880494,0.851784,0.86892533,0.8382045,0.84062636,0.9015266,0.9008063,0.89531386,0.87843454,0.8492974,0.8708213,0.87404984,0.8696735,0.8303853,0.79247105,0.87412596,0.80449677,0.86901754,0.8600363,0.8416902,0.8571696,0.84062374,0.8745278,0.86655915,0.83623666,0.86690927,0.8768835,0.85085773,-0.85285914,0.839672,0.8329894,0.86420536,0.8591976,-0.85567814,-0.8297632,0.8681085,0.8333285,0.8432591,0.82605994,0.87996435,0.8444866
0.88170743,0.86467975,0.88302517,0.84804034,1.0,0.8608654,0.8366792,0.8258121,0.8732352,0.84094036,0.87744117,0.83794665,0.8380337,0.83451134,0.8567277,0.8793458,0.8359662,0.85445917,0.85109305,0.8232862,0.8422878,0.811285,0.81044495,0.8885821,0.81450963,0.84305865,0.8548634,0.8061483,0.84551847,0.8352179,0.83716655,0.85935855,0.84236205,0.8551419,0.82975674,0.85705435,-0.83917814,0.83553994,0.8100795,0.82172865,0.83011997,-0.8558209,-0.8408849,0.8646562,0.83761823,0.8479933,0.8178792,0.8664004,0.82010126
0.8767498,0.88273185,0.8623444,0.8741126,0.8608654,1.0,0.85639095,0.8411118,0.8440995,0.85455555,0.89829344,0.8545704,0.8794447,0.8717098,0.86438894,0.8650331,0.8774326,0.8924406,0.86904866,0.8596227,0.8955873,0.83406204,0.81081235,0.8700833,0.8017929,0.886642,0.8905422,0.84161997,0.8775946,0.8390399,0.8469342,0.8475776,0.8664842,0.85561514,0.8631681,0.8739158,-0.8495187,0.87339914,0.85593945,0.83626366,0.8512991,-0.87595534,-0.873646,0.8755553,0.865415,0.8408073,0.86411965,0.8734058,0.8564332
0.87058985,0.86735886,0.86983323,0.8706715,0.8366792,0.85639095,1.0,0.8500222,0.84249383,0.843384,0.86686033,0.858523,0.8577064,0.8533213,0.87443364,0.876811,0.8325254,0.8326975,0.87958896,0.85735494,0.84490246,0.81867504,0.79189456,0.8434002,0.7903239,0.8825792,0.84844244,0.83384347,0.84824723,0.8715657,0.8750659,0.8918724,0.83426285,0.8684894,0.84052175,0.8595811,-0.85071385,0.8592134,0.8491975,0.8323965,0.8373638,-0.83174145,-0.81036794,0.88114464,0.81406534,0.84788525,0.80924433,0.86768687,0.84478176
0.89666855,0.9024387,0.87826586,0.867112,0.8258121,0.8411118,0.8500222,1.0,0.8440074,0.9128305,0.85982734,0.8483983,0.8573414,0.8580908,0.8513361,0.86703765,0.8679948,0.8336557,0.85219705,0.8590094,0.84848034,0.88240385,0.77284724,0.8490863,0.825243,0.8595428,0.857276,0.89589936,0.84365374,0.8407744,0.9166987,0.8327625,0.8415082,0.8347813,0.86653864,0.83834976,-0.9120746,0.82531416,0.8406747,0.85471547,0.8180864,-0.83871466,-0.813211,0.8597604,0.8337737,0.81942815,0.8274726,0.8587444,0.8307826
0.8809937,0.8856741,0.8973821,0.85880494,0.8732352,0.8440995,0.84249383,0.8440074,1.0,0.83691454,0.8610419,0.8307417,0.82433504,0.83490366,0.8424783,0.88549715,0.8316537,0.8247143,0.8434937,0.83575875,0.82048154,0.85464203,0.81799066,0.8745063,0.8217091,0.846038,0.85053766,0.84728974,0.83879983,0.8298056,0.88107574,0.87641126,0.85238135,0.84320724,0.84342146,0.8467519,-0.8363836,0.8161202,0.81672716,0.8363941,0.8201123,-0.83832836,-0.82556045,0.8764373,0.8299303,0.8424222,0.83531547,0.8632741,0.82931995
0.8815392,0.87391496,0.8522583,0.851784,0.84094036,0.85455555,0.843384,0.9128305,0.83691454,1.0,0.8707926,0.8314549,0.8429171,0.8358158,0.84890133,0.8718829,0.85355175,0.8275939,0.8412025,0.84384394,0.851268,0.8541378,0.7685815,0.8240303,0.82254267,0.8588303,0.840063,0.8891789,0.83493125,0.8312502,0.8936877,0.84354705,0.8711555,0.8257357,0.85337365,0.82983243,-0.9241601,0.83059955,0.8473619,0.8343152,0.8047419,-0.8510512,-0.85162556,0.8665122,0.8316153,0.8085604,0.8549535,0.8502535,0.841385
