"sono ansioso, inquieto o angosciato","sono preoccupato, tormentato o infastitdito","sono scoraggiato, depresso, abbattuto",ho l'impressione di perdere il controllo,"mii sento solo, isolato, incompreso",mi sento il cuore che batte velocemente o irregolarment,"sono irritabile, ho i nervi a fior di pelle, perdo la pazienza con le persone e le cose",sono stressato,"sono inefficiente, inadeguato",sono calmo,"ho il respiro corto, a scatti, limitato, rapido","ho il viso (fronte, sopracciglia o labbra) contratto, corrugato, teso","ho i muscoli tesi o che tremano, ho crampi muscolari",ho l’impressione che ogni cosa mi comporti uno sforzo notevole,"controllo male le mie reazioni, l’umore, i gesti","sono confuso, non ho le idee chiare, manco di attenzione e di concentrazione",sento “un gran peso sulle spalle”,mi sento la gola stretta o la bocca secca,"ho difficoltà a digerire, mal di stomaco, mi sento un nodo allo stomaco",ho improvvise variazioni della temperatura corporea,faccio lunghi sospiri o riprendo di colpo la respirazione,sono teso o contratto,"riesamino le stesse idee più volte, rimugino,","mi sento sopraffatto, sovrastato, sovraccaricato",ho le mascelle serrate,"sono brusco nei comportamenti, mi muovo rapidamente e a scatti",ho soprassalti per situazioni inattese o rumori improvvisi,sono aggressivo,ho i lineamenti tirati o le occhiaie,"ho dei dolori fisici: mal di schiena, mal di testa, male al collo, mal di pancia",sono affaticato,"sono maldestro, faccio gaffes, inciampo, perdo le cose",piango facilmente,evito i contatti sociali o non frequento più attività culturali,sono preoccupato di ciò che può succedere il giorno dopo,ho diarrea o crampi intestinali o stitichezza,sono rilassato*,Mi mangio le unghie o la pelle intorno alle dita,"Sto continuamente attento all’orario, guardo spesso il mio orologio o chiedo l’ora",impiego più di mezz’ora per addormentarmi,tendo a saltare i pasti o a dimenticare di mangiare,"mi sento pieno di energia, in forma",vedo la vita semplice e facile,"sono irrequieto, ho sempre bisogno di muovermi, non riesco a stare fermo",ho le mani sudate o sudo molto,"dimentico appuntamenti, oggetti o cose da fare",cammino velocemente,"mi sento pressato dal tempo, mi manca il tempo","mangio velocemente, finisco di pranzare in meno di 15 minuti"
1.0,0.9375452,0.7267164,0.53780353,0.59067774,0.6635846,0.58594805,0.70567155,0.5258148,0.5896926,0.5135167,0.61524355,0.6704403,0.5060625,0.59401774,0.6492493,0.47150725,0.64174795,0.5440239,0.44703144,0.59045756,0.6342449,0.33588472,0.6704692,0.34724417,0.5512572,0.5366588,0.55650043,0.60263157,0.5236052,0.6749818,0.5203096,0.48902076,0.48439348,0.63692117,0.675964,-0.54604095,0.52879894,0.562758,0.53644925,0.53549236,-0.5839042,-0.5169806,0.6058306,0.66759795,0.5584361,0.4625329,0.62235713,0.46502048
0.9375452,1.0,0.7486731,0.5472162,0.59552073,0.6309627,0.5915594,0.6745902,0.5603861,0.5316047,0.49306786,0.62543064,0.634571,0.4870647,0.5716317,0.63664925,0.454189,0.6031804,0.54295117,0.45235834,0.5316338,0.63052833,0.3373685,0.6998844,0.33354223,0.54359263,0.5559465,0.5134182,0.57280886,0.5039358,0.64343727,0.55244404,0.45457062,0.44774544,0.6269917,0.65151095,-0.49295586,0.5081005,0.51206744,0.49152142,0.52978843,-0.5506907,-0.46271524,0.57122105,0.6343208,0.535169,0.40111962,0.60557467,0.45877588
0.7267164,0.7486731,1.0,0.57266927,0.61477476,0.45946032,0.5455743,0.6458281,0.59292793,0.50157106,0.55029,0.4838401,0.5014684,0.39613518,0.5151487,0.5551527,0.42704388,0.43752983,0.5101945,0.36362082,0.4210705,0.4548932,0.31156963,0.7377129,0.31634185,0.49315572,0.33052036,0.46786067,0.42012766,0.48502073,0.6334169,0.6583811,0.4243837,0.31053212,0.43409294,0.49474862,-0.50093716,0.2901913,0.32122707,0.42816907,0.4185413,-0.5490589,-0.35239166,0.5144449,0.5150309,0.39252168,0.33368573,0.6476958,0.3706652
0.53780353,0.5472162,0.57266927,1.0,0.5440175,0.5122432,0.44153595,0.5116278,0.44125646,0.4591547,0.37249562,0.39534593,0.41974252,0.5777751,0.5339239,0.5182898,0.5213352,0.496944,0.53639305,0.414323,0.41778556,0.43523914,0.27908397,0.6296967,0.31592622,0.3931041,0.36798674,0.41506582,0.4527989,0.43878347,0.49814075,0.5285785,0.3873837,0.34644958,0.41082773,0.48410892,-0.42069697,0.39246488,0.37188762,0.48865187,0.491389,-0.53632283,-0.43376297,0.46140093,0.5261653,0.38151586,0.33313796,0.6022067,0.35842407
0.59067774,0.59552073,0.61477476,0.5440175,1.0,0.4786939,0.4692282,0.4480375,0.4408583,0.49356586,0.5106002,0.4224199,0.41848254,0.46253675,0.51314986,0.5305393,0.4400285,0.3819284,0.48068702,0.29816028,0.3653148,0.3417588,0.33247316,0.6692743,0.226612,0.40920365,0.41156438,0.30631867,0.29699022,0.4618957,0.44207034,0.48981807,0.4299088,0.32534596,0.36305934,0.40992135,-0.45932475,0.31652233,0.31674865,0.43880415,0.3429388,-0.5166273,-0.42931175,0.5163933,0.4090234,0.39548194,0.33232224,0.5373675,0.37841254
0.6635846,0.6309627,0.45946032,0.5122432,0.4786939,1.0,0.45458543,0.4816305,0.38565487,0.45775342,0.5315515,0.50376344,0.60524076,0.5253108,0.53157425,0.4721356,0.5302533,0.6233691,0.5212528,0.46819818,0.6097448,0.4823266,0.33477005,0.50226086,0.28540957,0.60278976,0.5483371,0.4584001,0.4937477,0.47595042,0.4812479,0.45172185,0.5514998,0.44174,0.51066875,0.59209836,-0.43081796,0.53166723,0.52568793,0.43724224,0.5283706,-0.52030045,-0.53569776,0.49729764,0.63047224,0.43157157,0.55854964,0.55588067,0.45992723
0.58594805,0.5915594,0.5455743,0.44153595,0.4692282,0.45458543,1.0,0.57419205,0.42403287,0.48010516,0.42385364,0.4983898,0.5279512,0.42092025,0.598592,0.64347357,0.35985786,0.3907047,0.4955222,0.43911085,0.36276475,0.38380867,0.2929205,0.5387668,0.32101512,0.6194401,0.4175681,0.5076521,0.40849572,0.46731514,0.5617704,0.6116188,0.36120135,0.45241117,0.47881186,0.40006596,-0.45680648,0.48305392,0.44290268,0.3854081,0.37044328,-0.49698392,-0.34884465,0.58901334,0.4396597,0.46965727,0.330424,0.58457315,0.44806385
0.70567155,0.6745902,0.6458281,0.5116278,0.4480375,0.4816305,0.57419205,1.0,0.4701392,0.7542139,0.4114694,0.47766614,0.5568626,0.46663845,0.45648235,0.52987903,0.49460226,0.49871066,0.4371912,0.4294982,0.46842825,0.5745924,0.19240671,0.5959105,0.4814871,0.4690253,0.44302464,0.7077979,0.47897598,0.48443508,0.90532047,0.45540255,0.5193961,0.3963212,0.50733364,0.46913317,-0.684322,0.3798868,0.42692757,0.478606,0.39787585,-0.5395284,-0.40595675,0.52919304,0.565328,0.30232924,0.47458756,0.5754169,0.3598209
0.5258148,0.5603861,0.59292793,0.44125646,0.4408583,0.38565487,0.42403287,0.4701392,1.0,0.4252866,0.3792493,0.35413653,0.3929696,0.2995745,0.4377904,0.5131354,0.3311333,0.36370918,0.47543964,0.28109637,0.36873272,0.4687517,0.25145882,0.49813166,0.259282,0.44335896,0.40231013,0.47431982,0.3488323,0.39459318,0.5364711,0.544701,0.39382753,0.38295516,0.38664183,0.39601743,-0.40967697,0.28952295,0.3832615,0.3865779,0.36472523,-0.4845376,-0.37446883,0.49160263,0.44062766,0.39018166,0.34964845,0.5212388,0.346206
0.5896926,0.5316047,0.50157106,0.4591547,0.49356586,0.45775342,0.48010516,0.7542139,0.4252866,1.0,0.47066948,0.40363657,0.47710696,0.34381998,0.45534784,0.4910921,0.41996047,0.47218,0.37715805,0.3923546,0.48630494,0.53805804,0.20497909,0.3899091,0.40951702,0.4571112,0.3792196,0.5962056,0.39639682,0.42713523,0.7452498,0.43367425,0.6219527,0.39658338,0.39337194,0.41162372,-0.7781475,0.38410032,0.41056135,0.4591883,0.37076318,-0.49139535,-0.48362455,0.541049,0.47816676,0.31677493,0.5316906,0.43113536,0.43726623
