"sono ansioso, inquieto o angosciato","sono preoccupato, tormentato o infastitdito","sono scoraggiato, depresso, abbattuto",ho l'impressione di perdere il controllo,"mii sento solo, isolato, incompreso",mi sento il cuore che batte velocemente o irregolarment,"sono irritabile, ho i nervi a fior di pelle, perdo la pazienza con le persone e le cose",sono stressato,"sono inefficiente, inadeguato",sono calmo,"ho il respiro corto, a scatti, limitato, rapido","ho il viso (fronte, sopracciglia o labbra) contratto, corrugato, teso","ho i muscoli tesi o che tremano, ho crampi muscolari",ho l’impressione che ogni cosa mi comporti uno sforzo notevole,"controllo male le mie reazioni, l’umore, i gesti","sono confuso, non ho le idee chiare, manco di attenzione e di concentrazione",sento “un gran peso sulle spalle”,mi sento la gola stretta o la bocca secca,"ho difficoltà a digerire, mal di stomaco, mi sento un nodo allo stomaco",ho improvvise variazioni della temperatura corporea,faccio lunghi sospiri o riprendo di colpo la respirazione,sono teso o contratto,"riesamino le stesse idee più volte, rimugino,","mi sento sopraffatto, sovrastato, sovraccaricato",ho le mascelle serrate,"sono brusco nei comportamenti, mi muovo rapidamente e a scatti",ho soprassalti per situazioni inattese o rumori improvvisi,sono aggressivo,ho i lineamenti tirati o le occhiaie,"ho dei dolori fisici: mal di schiena, mal di testa, male al collo, mal di pancia",sono affaticato,"sono maldestro, faccio gaffes, inciampo, perdo le cose",piango facilmente,evito i contatti sociali o non frequento più attività culturali,sono preoccupato di ciò che può succedere il giorno dopo,ho diarrea o crampi intestinali o stitichezza,sono rilassato*,Mi mangio le unghie o la pelle intorno alle dita,"Sto continuamente attento all’orario, guardo spesso il mio orologio o chiedo l’ora",impiego più di mezz’ora per addormentarmi,tendo a saltare i pasti o a dimenticare di mangiare,"mi sento pieno di energia, in forma",vedo la vita semplice e facile,"sono irrequieto, ho sempre bisogno di muovermi, non riesco a stare fermo",ho le mani sudate o sudo molto,"dimentico appuntamenti, oggetti o cose da fare",cammino velocemente,"mi sento pressato dal tempo, mi manca il tempo","mangio velocemente, finisco di pranzare in meno di 15 minuti"
1.0,0.9153682,0.82564855,0.5608649,0.5988592,0.5553365,0.70882607,0.7254941,0.3611869,0.41597015,0.48474315,0.4059438,0.45792717,0.40004683,0.532099,0.55563176,0.487032,0.47341752,0.42240125,0.3154187,0.45144352,0.37165427,0.21114579,0.6555749,0.25241372,0.4555927,0.47307205,0.53768265,0.29590484,0.47818756,0.60602593,0.5528272,0.43800455,0.31397343,0.41079187,0.3692509,-0.5138424,0.35046983,0.28115922,0.2715872,0.39200363,-0.5020765,-0.1978357,0.4964759,0.454803,0.32685745,0.15569332,0.526893,0.2017318
0.9153682,1.0,0.8202512,0.6280579,0.5576495,0.5620572,0.73912746,0.7633449,0.33600736,0.4432178,0.4211728,0.53660315,0.4932782,0.41463774,0.5652797,0.52835864,0.57991445,0.54115546,0.44772935,0.3173921,0.4676932,0.436198,0.21120733,0.6493968,0.38139334,0.43652847,0.49650317,0.606349,0.33962947,0.50592315,0.67007446,0.6231065,0.47434717,0.33197016,0.51886636,0.46334863,-0.5209893,0.40945685,0.24736457,0.2602303,0.41277248,-0.47382325,-0.15148637,0.47790667,0.5600709,0.2910192,0.12558831,0.49410775,0.18072313
0.82564855,0.8202512,1.0,0.6441896,0.6323382,0.5604323,0.74532044,0.7561194,0.43584523,0.46117264,0.49731684,0.4551596,0.46146828,0.41569883,0.48202068,0.47928727,0.5597099,0.46652478,0.4555828,0.30021822,0.48702633,0.38802207,0.1895971,0.739328,0.28937423,0.44612706,0.43241596,0.463317,0.2890669,0.46639043,0.71564794,0.72824377,0.6045847,0.27923977,0.3212877,0.37972984,-0.56498075,0.33576196,0.17483625,0.2325979,0.36397272,-0.5169931,-0.2636855,0.57234263,0.47165394,0.32688928,0.15744576,0.4947432,0.17650495
0.5608649,0.6280579,0.6441896,1.0,0.44842684,0.55616546,0.6876919,0.68930835,0.44604844,0.42719775,0.5039179,0.46067363,0.5228379,0.48123974,0.66528916,0.54027754,0.62715423,0.5338677,0.4639523,0.39862186,0.6060358,0.4324834,0.2227983,0.6891248,0.44739175,0.6432781,0.5967623,0.5605593,0.4261166,0.3744517,0.75965035,0.7035866,0.4249934,0.3641615,0.4147879,0.3777827,-0.4767667,0.4255407,0.3754183,0.3212351,0.44497302,-0.5382891,-0.15795238,0.6876601,0.63186586,0.3494079,0.25676954,0.6213591,0.29694137
0.5988592,0.5576495,0.6323382,0.44842684,1.0,0.4694209,0.4520254,0.45188224,0.44286102,0.45735192,0.51319486,0.32103154,0.26122177,0.36498418,0.3679274,0.42950758,0.39881158,0.37066168,0.22904298,0.20540187,0.41481063,0.29262272,0.23154362,0.5768835,0.30382445,0.3540433,0.49032837,0.2938125,0.27514714,0.21477161,0.5231833,0.4932346,0.470159,0.38726342,0.16124178,0.17922243,-0.5705,0.26248047,0.17744552,0.2397109,0.36671963,-0.43180168,-0.41225398,0.4540885,0.3467973,0.38756096,0.27977306,0.47774297,0.1686338
0.5553365,0.5620572,0.5604323,0.55616546,0.4694209,1.0,0.45603338,0.52366436,0.17220092,0.33721733,0.56656027,0.34122062,0.5343398,0.3640336,0.43415108,0.27234462,0.5468175,0.5310766,0.4147712,0.38960117,0.55605876,0.32043624,0.19134173,0.54459906,0.2914236,0.53822714,0.5096617,0.46033573,0.35135233,0.39357674,0.51318085,0.39515364,0.5602964,0.078164145,0.28409302,0.3410883,-0.42546254,0.35361567,0.24562898,0.21456385,0.25933075,-0.6089419,-0.24337098,0.48534602,0.4779906,0.14154696,0.4027925,0.47993428,0.25392365
0.70882607,0.73912746,0.74532044,0.6876919,0.4520254,0.45603338,1.0,0.69358635,0.43690896,0.38176584,0.42431474,0.52360976,0.55746865,0.41754112,0.61154246,0.5040809,0.504318,0.4993296,0.55187654,0.40938818,0.4664902,0.2517361,0.08532834,0.6968528,0.37958843,0.5273149,0.42439395,0.49135122,0.29875398,0.6480975,0.6306157,0.68870497,0.47612232,0.38764435,0.36317745,0.47261232,-0.39495417,0.479384,0.30603436,0.2544006,0.3258813,-0.44888365,-0.13396491,0.5931574,0.5540457,0.36942917,0.10317662,0.52522355,0.24313284
0.7254941,0.7633449,0.7561194,0.68930835,0.45188224,0.52366436,0.69358635,1.0,0.43880892,0.47287804,0.48392957,0.496814,0.5887524,0.46358892,0.5035826,0.49808878,0.63831186,0.52463686,0.4843223,0.32577312,0.53054607,0.41808963,0.11556159,0.64889836,0.41338408,0.4837341,0.4667008,0.57333696,0.3742376,0.4830119,0.8152831,0.6104059,0.555027,0.21210778,0.42417073,0.4005337,-0.5849012,0.34869277,0.28605366,0.37285745,0.3605274,-0.5594553,-0.10619974,0.63144493,0.5607949,0.32548225,0.25383192,0.5974406,0.27569067
0.3611869,0.33600736,0.43584523,0.44604844,0.44286102,0.17220092,0.43690896,0.43880892,1.0,0.2553979,0.35496688,0.214274,0.25238386,0.40687793,0.27279735,0.38963956,0.27076846,0.16755041,0.19918522,0.10471794,0.28026193,0.3476954,0.13513345,0.5229631,0.22429998,0.3758915,0.38466325,0.30882895,0.25624767,0.18321341,0.5665605,0.5997554,0.26423675,0.24845786,0.08615029,0.18108064,-0.3071283,0.15576619,0.18649945,0.28449315,0.3510992,-0.21917546,-0.19583641,0.49601254,0.32182825,0.30042827,0.20679,0.43723488,0.1868287
0.41597015,0.4432178,0.46117264,0.42719775,0.45735192,0.33721733,0.38176584,0.47287804,0.2553979,1.0,0.5253028,0.40726382,0.32686764,0.27462178,0.33453494,0.39339703,0.3477466,0.4289359,0.19336206,0.23484239,0.44433355,0.49229896,-0.005628201,0.31002218,0.48404682,0.34685248,0.3888205,0.4138645,0.40226138,0.15155964,0.6327332,0.51018816,0.43130952,0.25507766,0.20030594,0.21507126,-0.861256,0.2259373,0.2029409,0.29496112,0.24401231,-0.35410973,-0.40895048,0.40399897,0.42993003,0.28720665,0.30643943,0.38724238,0.2663604
