"sono ansioso, inquieto o angosciato","sono preoccupato, tormentato o infastitdito","sono scoraggiato, depresso, abbattuto",ho l'impressione di perdere il controllo,"mii sento solo, isolato, incompreso",mi sento il cuore che batte velocemente o irregolarment,"sono irritabile, ho i nervi a fior di pelle, perdo la pazienza con le persone e le cose",sono stressato,"sono inefficiente, inadeguato",sono calmo,"ho il respiro corto, a scatti, limitato, rapido","ho il viso (fronte, sopracciglia o labbra) contratto, corrugato, teso","ho i muscoli tesi o che tremano, ho crampi muscolari",ho l’impressione che ogni cosa mi comporti uno sforzo notevole,"controllo male le mie reazioni, l’umore, i gesti","sono confuso, non ho le idee chiare, manco di attenzione e di concentrazione",sento “un gran peso sulle spalle”,mi sento la gola stretta o la bocca secca,"ho difficoltà a digerire, mal di stomaco, mi sento un nodo allo stomaco",ho improvvise variazioni della temperatura corporea,faccio lunghi sospiri o riprendo di colpo la respirazione,sono teso o contratto,"riesamino le stesse idee più volte, rimugino,","mi sento sopraffatto, sovrastato, sovraccaricato",ho le mascelle serrate,"sono brusco nei comportamenti, mi muovo rapidamente e a scatti",ho soprassalti per situazioni inattese o rumori improvvisi,sono aggressivo,ho i lineamenti tirati o le occhiaie,"ho dei dolori fisici: mal di schiena, mal di testa, male al collo, mal di pancia",sono affaticato,"sono maldestro, faccio gaffes, inciampo, perdo le cose",piango facilmente,evito i contatti sociali o non frequento più attività culturali,sono preoccupato di ciò che può succedere il giorno dopo,ho diarrea o crampi intestinali o stitichezza,sono rilassato*,Mi mangio le unghie o la pelle intorno alle dita,"Sto continuamente attento all’orario, guardo spesso il mio orologio o chiedo l’ora",impiego più di mezz’ora per addormentarmi,tendo a saltare i pasti o a dimenticare di mangiare,"mi sento pieno di energia, in forma",vedo la vita semplice e facile,"sono irrequieto, ho sempre bisogno di muovermi, non riesco a stare fermo",ho le mani sudate o sudo molto,"dimentico appuntamenti, oggetti o cose da fare",cammino velocemente,"mi sento pressato dal tempo, mi manca il tempo","mangio velocemente, finisco di pranzare in meno di 15 minuti"
1.0,0.9298691,0.7755293,0.6766291,0.51093733,0.4785608,0.7622751,0.8103291,0.30188236,0.46330476,0.54719275,0.48068166,0.48300135,0.5447091,0.6304658,0.6021309,0.5038729,0.5216405,0.43241763,0.43456176,0.58928835,0.4924931,0.26835555,0.64570785,0.45122713,0.5457642,0.5876581,0.45017898,0.5098736,0.46807733,0.67514455,0.72437847,0.6237606,0.39894158,0.54051286,0.4922303,-0.5329709,0.3523565,0.42847323,0.33933312,0.45476276,-0.4249441,-0.27686283,0.5931278,0.5632128,0.4845368,0.3531158,0.63264894,0.18804878
0.9298691,1.0,0.79693085,0.6900991,0.5226198,0.42170507,0.73023254,0.8022417,0.3311211,0.49446112,0.47117978,0.47519714,0.41564444,0.531363,0.5748487,0.5878448,0.5030433,0.48670378,0.41767767,0.3944948,0.5103698,0.54651487,0.31267393,0.6110579,0.49764967,0.48261023,0.59099203,0.48404145,0.53518385,0.4262724,0.6981875,0.67064536,0.562392,0.40280607,0.6011658,0.46231183,-0.53922033,0.36255848,0.4169983,0.29953453,0.45139012,-0.34342274,-0.2909314,0.5083513,0.51200926,0.49937811,0.32643417,0.61569923,0.15199083
0.7755293,0.79693085,1.0,0.6127039,0.59445196,0.28803214,0.6403109,0.7207879,0.3936878,0.40268672,0.4129337,0.38441825,0.3441234,0.5187328,0.47562173,0.5283275,0.46591598,0.3814366,0.33216825,0.28116164,0.44530457,0.40829164,0.26281407,0.6029298,0.42293018,0.38263556,0.46778578,0.36031693,0.42471746,0.35941052,0.68509007,0.65685445,0.56499064,0.422598,0.41506898,0.35778913,-0.47472346,0.27294418,0.23281147,0.26712638,0.3932398,-0.31355175,-0.30325302,0.46187502,0.39657667,0.42423302,0.2770101,0.564384,0.11843871
0.6766291,0.6900991,0.6127039,1.0,0.41395158,0.42406937,0.69001925,0.66547894,0.40361145,0.47534925,0.51429135,0.36601767,0.46958935,0.5091777,0.6691693,0.629785,0.46048552,0.4411439,0.4031817,0.46206182,0.5568192,0.40044448,0.30798155,0.61409557,0.51226425,0.5242731,0.55516577,0.41035765,0.49328202,0.39560157,0.68279594,0.71812123,0.49415046,0.37937486,0.48879302,0.41885552,-0.5222143,0.3439165,0.32452077,0.33900076,0.47364056,-0.36015925,-0.24547024,0.59799474,0.52517676,0.46199042,0.34440166,0.653036,0.16961479
0.51093733,0.5226198,0.59445196,0.41395158,1.0,0.26147586,0.38646132,0.3897307,0.30817086,0.27214885,0.2735808,0.20816544,0.17284593,0.41304284,0.27307218,0.3618999,0.39874202,0.24021983,0.15336151,0.22222744,0.30690548,0.25351194,0.23117061,0.3702894,0.23437917,0.2350044,0.4341648,0.16615726,0.27938285,0.20031938,0.40002468,0.35034937,0.27529132,0.44928536,0.29491517,0.141116,-0.28257942,0.12608948,0.19690639,0.1940741,0.28554714,-0.16315204,-0.30053312,0.32597944,0.23676316,0.3263085,0.21187045,0.45129746,-0.04346604
0.4785608,0.42170507,0.28803214,0.42406937,0.26147586,1.0,0.36828357,0.3884537,0.09216868,0.22050971,0.6294553,0.31822863,0.5308862,0.33188242,0.3834315,0.29010057,0.3817855,0.5363834,0.3773958,0.54679555,0.57915723,0.20061694,0.15120731,0.42035866,0.30243114,0.48522294,0.52011067,0.27605623,0.3251918,0.48849362,0.4064355,0.44444174,0.40156108,0.1369166,0.2955768,0.3466219,-0.2733879,0.24290287,0.3857369,0.2861272,0.28489774,-0.470712,-0.1543906,0.510473,0.4802435,0.20184812,0.44822693,0.47476923,0.20870098
0.7622751,0.73023254,0.6403109,0.69001925,0.38646132,0.36828357,1.0,0.6927084,0.30354238,0.36349636,0.523173,0.4735508,0.44041258,0.49926224,0.6002396,0.54500896,0.2982511,0.45500144,0.40704513,0.45819765,0.54604924,0.2931286,0.22557431,0.60378635,0.38516665,0.5711916,0.5175472,0.4211721,0.44626105,0.4908427,0.60273844,0.7848431,0.56473947,0.4399135,0.34686172,0.48560536,-0.4175679,0.39322352,0.41789562,0.3850696,0.47179285,-0.32974896,-0.2076873,0.6369301,0.55612063,0.49318105,0.31515998,0.5958527,0.254991
0.8103291,0.8022417,0.7207879,0.66547894,0.3897307,0.3884537,0.6927084,1.0,0.3862582,0.45192963,0.4903546,0.4149379,0.47355402,0.59805596,0.5583662,0.53904706,0.49331868,0.43731958,0.4010753,0.3968232,0.512547,0.55916595,0.27140588,0.65751004,0.53525126,0.45925987,0.52363634,0.526217,0.4736836,0.41346133,0.80136555,0.6728102,0.5265986,0.36856306,0.53720903,0.42719537,-0.5365091,0.33954167,0.40095657,0.40609485,0.4359312,-0.36837244,-0.20705137,0.56191355,0.5593345,0.480586,0.38838318,0.62791944,0.18624544
0.30188236,0.3311211,0.3936878,0.40361145,0.30817086,0.09216868,0.30354238,0.3862582,1.0,0.11663382,0.31482607,0.14586063,0.21224515,0.37437254,0.22257559,0.44659597,0.20394602,0.17316861,0.16253866,0.15198566,0.20961903,0.31304824,0.26466596,0.46105725,0.2585215,0.2775671,0.27562058,0.22920546,0.2191979,0.14459753,0.4823507,0.3543142,0.18237959,0.1991165,0.18247625,0.19808942,-0.18155938,0.17045861,0.10938129,0.20120646,0.34715992,-0.09991602,-0.15962493,0.3328108,0.26991242,0.2993917,0.22235163,0.4719165,0.14835894
0.46330476,0.49446112,0.40268672,0.47534925,0.27214885,0.22050971,0.36349636,0.45192963,0.11663382,1.0,0.39951816,0.36461878,0.32685575,0.25852054,0.47809905,0.30782184,0.36494413,0.31927675,0.19393331,0.21165524,0.35498798,0.40051156,0.26000178,0.33043873,0.51944625,0.32209766,0.30250385,0.32915744,0.4277672,0.19957876,0.538989,0.3742851,0.24337205,0.22439955,0.34750837,0.17151111,-0.8265534,0.28855172,0.35565162,0.24450155,0.15691024,-0.38156295,-0.4301843,0.31967026,0.35687047,0.27793196,0.32420534,0.36531577,0.23911908
